sFileNumber,vOffice,vCoverageType,vState,vProduct,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oNumDays
2301-200007,1,3863,TX,Title and Escrow,Reverse Mortgage,131000.00,1.00,60.00,886.00,4.00,6.00,45.00
17-500016,2,3863,CA,Title & Full Escrow,Refinance,259462.00,1.00,72.00,973.00,17.00,19.00,50.00
17-500018,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),59400.00,1.00,48.00,692.00,4.00,8.00,41.00
17-500019,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),125000.00,2.00,51.00,946.00,5.00,20.00,50.00
2301-200008,1,3860,MO,Title and Escrow,Reverse Mortgage,290000.00,3.00,75.00,960.00,24.00,30.00,45.00
2301-200009,1,3860,UT,Title and Escrow,Reverse Mortgage,153000.00,0.00,57.00,681.00,18.00,14.00,45.00
2301-200010,1,3860,KY,Title and Escrow,Reverse Mortgage,145000.00,0.00,66.00,742.00,21.00,12.00,45.00
17-500020,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),113000.00,2.00,49.00,614.00,6.00,14.00,28.00
2301-200011,1,3860,FL,Title and Escrow,Reverse Mortgage,83360.00,0.00,94.00,2203.00,31.00,49.00,28.00
2301-200012,1,3863,CA,Title and Escrow,Reverse Mortgage,379678.50,0.00,53.00,510.00,17.00,6.00,45.00
17-500022,2,3863,CA,Title & Sub-Escrow,Refinance,120000.00,1.00,39.00,500.00,17.00,6.00,45.00
2301-200013,1,3863,FL,Title and Escrow,Reverse Mortgage,97170.00,1.00,86.00,1465.00,27.00,35.00,56.00
17-500023,2,3863,CA,Title & Sub-Escrow,Refinance,337500.00,1.00,40.00,457.00,16.00,7.00,45.00
2301-200014,1,3860,MS,Title and Escrow,Reverse Mortgage,133750.00,0.00,99.00,1749.00,21.00,50.00,39.00
17-500024,2,3863,CA,Title Only,Refinance,1250000.00,0.00,23.00,272.00,1.00,7.00,45.00
17-500025,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),60000.00,1.00,42.00,545.00,7.00,9.00,29.00
2301-200015,1,3863,TX,Title and Escrow,Reverse Mortgage,146000.00,1.00,71.00,976.00,7.00,27.00,45.00
2301-200016,1,3863,CA,Title and Escrow,Reverse Mortgage,200313.75,0.00,85.00,1552.00,16.00,48.00,39.00
17-500026,2,3863,CA,Title & Sub-Escrow,Refinance,320000.00,2.00,63.00,986.00,21.00,25.00,43.00
2301-200017,1,3863,FL,Title and Escrow,Reverse Mortgage,80000.00,1.00,57.00,637.00,29.00,7.00,45.00
17-500027,2,3863,CA,Title & Full Escrow,Refinance,179900.00,1.00,50.00,586.00,18.00,10.00,45.00
17-500028,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),60000.00,1.00,41.00,627.00,4.00,11.00,50.00
2301-200018,1,3860,AL,Title Only,Reverse Mortgage,101306.55,2.00,79.00,1414.00,25.00,45.00,34.00
2301-200019,1,3860,PA,Title and Escrow,Reverse Mortgage,87408.00,0.00,111.00,1630.00,20.00,50.00,39.00
17-500029,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),50000.00,1.00,43.00,604.00,4.00,12.00,29.00
17-500031,2,3863,CA,Title Only,Refinance,25000.00,1.00,74.00,1770.00,17.00,42.00,43.00
17-500032,2,3863,CA,Title Only,Refinance,230521.00,2.00,44.00,620.00,24.00,14.00,45.00
17-500033,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),84000.00,1.00,51.00,721.00,13.00,24.00,204.00
17-500034,2,3863,NV,Title & Sub-Escrow,Refinance,250000.00,0.00,44.00,558.00,19.00,10.00,45.00
17-500035,2,3860,CO,Title Only,Refinance,50000.00,0.00,93.00,1566.00,20.00,49.00,61.00
17-500036,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),59500.00,2.00,43.00,620.00,5.00,15.00,35.00
2301-200021,1,3863,AZ,Title and Escrow,Reverse Mortgage,285382.00,0.00,101.00,1715.00,15.00,44.00,46.00
17-500037,2,3860,OR,Property Report / O&E & Full Escrow,Uninsured (Info Products),202400.00,2.00,61.00,918.00,6.00,23.00,53.00
2301-200023,1,3860,UT,Title and Escrow,Reverse Mortgage,625500.00,0.00,52.00,498.00,1.00,9.00,45.00
17-500038,2,3863,CA,LCP - Title Only,Refinance,95500.00,1.00,42.00,699.00,4.00,8.00,29.00
17-500039,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),28800.00,2.00,38.00,634.00,7.00,16.00,29.00
17-500042,2,3863,CA,Title Only,Refinance,100000.00,0.00,55.00,847.00,21.00,24.00,53.00
2301-200024,1,3863,CA,Title and Escrow,Reverse Mortgage,326700.00,1.00,110.00,2021.00,19.00,50.00,34.00
17-500043,2,3863,CA,LCP & Sub-Escrow,Refinance,65000.00,2.00,67.00,1314.00,9.00,28.00,27.00
17-500044,2,3863,CA,LCP - Title Only,Refinance,35200.00,2.00,56.00,1139.00,6.00,34.00,55.00
17-500045,2,3860,ID,Property Report / O&E - Title Only,Uninsured (Info Products),25000.00,1.00,39.00,630.00,4.00,12.00,28.00
2301-200025,1,3863,CA,Title and Escrow,Reverse Mortgage,359662.50,1.00,74.00,1547.00,14.00,45.00,68.00
2301-200026,1,3860,MI,Title and Escrow,Reverse Mortgage,11396.00,2.00,97.00,1759.00,26.00,70.00,42.00
17-500046,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),100000.00,1.00,44.00,621.00,6.00,8.00,28.00
17-500047,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),75000.00,1.00,43.00,576.00,4.00,13.00,39.00
17-500048,2,3863,CA,LCP - Title Only,Refinance,35000.00,1.00,57.00,809.00,7.00,13.00,55.00
17-500049,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),100000.00,1.00,43.00,605.00,5.00,15.00,19.00
17-500050,2,3863,CA,LCP - Title Only,Refinance,50000.00,1.00,45.00,649.00,4.00,20.00,45.00
17-500051,2,3863,CA,LCP - Title Only,Refinance,40000.00,1.00,64.00,947.00,4.00,15.00,64.00
17-500052,2,3863,CA,Title Only,Refinance,272435.00,1.00,56.00,999.00,18.00,20.00,45.00
2301-200028,1,3860,LA,Title and Escrow,Reverse Mortgage,45073.50,0.00,92.00,1462.00,19.00,37.00,129.00
17-500053,2,3860,PA,Title & Sub-Escrow,Refinance,36500.00,1.00,141.00,2678.00,39.00,94.00,108.00
17-500054,2,3863,CA,Title & Sub-Escrow,Refinance,76000.00,2.00,49.00,555.00,22.00,11.00,45.00
17-500055,2,3860,UT,Title & Sub-Escrow,Refinance,188830.00,1.00,63.00,1307.00,21.00,37.00,56.00
17-500056,2,3860,UT,Title & Sub-Escrow,Refinance,126030.00,2.00,57.00,1096.00,19.00,27.00,56.00
2301-200030,1,3863,FL,Title and Escrow,Reverse Mortgage,156300.00,0.00,71.00,1393.00,29.00,27.00,60.00
2301-200032,1,3863,TX,Title and Escrow,Reverse Mortgage,535000.00,2.00,67.00,669.00,7.00,14.00,45.00
17-500057,2,3863,CA,LCP - Title Only,Refinance,100000.00,1.00,40.00,608.00,4.00,16.00,47.00
2301-200035,1,3863,CA,Title and Escrow,Reverse Mortgage,625500.00,0.00,40.00,265.00,2.00,1.00,45.00
2301-200036,1,3860,VA,Title and Escrow,Reverse Mortgage,184100.00,1.00,112.00,1919.00,23.00,75.00,40.00
17-500059,2,3863,CA,LCP - Title Only,Refinance,28000.00,1.00,40.00,582.00,4.00,17.00,59.00
2301-200038,1,3860,ME,Title and Escrow,Reverse Mortgage,120000.00,0.00,63.00,839.00,21.00,19.00,45.00
17-500060,2,3860,IN,Title Only,Refinance,147700.00,1.00,50.00,1122.00,21.00,26.00,42.00
17-500061,2,3863,CA,Title Only,Refinance,187000.00,1.00,40.00,561.00,18.00,8.00,45.00
17-500062,2,3863,CA,Title & Sub-Escrow,Refinance,417000.00,1.00,56.00,819.00,17.00,20.00,42.00
17-500063,2,3863,AZ,Escrow Only,Refinance,310000.00,0.00,19.00,639.00,2.00,5.00,32.00
2301-200040,1,3860,TN,Title and Escrow,Reverse Mortgage,72072.00,1.00,75.00,1226.00,20.00,29.00,62.00
17-500064,2,3863,AZ,Title & Sub-Escrow,Refinance,400000.00,2.00,65.00,870.00,19.00,31.00,45.00
17-500065,2,3863,NV,Title & Sub-Escrow,Refinance,292000.00,1.00,59.00,821.00,19.00,24.00,96.00
2301-200042,1,3860,AL,Title and Escrow,Reverse Mortgage,147618.00,0.00,119.00,1930.00,20.00,68.00,35.00
17-500067,2,3863,CA,LCP - Title Only,Refinance,30000.00,1.00,38.00,445.00,6.00,8.00,45.00
17-500069,2,3863,CA,Title & Full Escrow,Refinance,179244.00,2.00,84.00,1148.00,19.00,28.00,74.00
2301-200043,1,3860,IL,Title and Escrow,Reverse Mortgage,175000.00,1.00,55.00,568.00,18.00,10.00,45.00
17-500070,2,3863,CA,Title & Full Escrow,Refinance,262500.00,1.00,80.00,1194.00,18.00,23.00,49.00
17-500071,2,3863,CA,Title & Full Escrow,Refinance,212000.00,2.00,73.00,912.00,21.00,16.00,76.00
17-500072,2,3863,CA,Title Only,Refinance,80000.00,2.00,48.00,707.00,20.00,19.00,27.00
17-500074,2,3863,CA,LCP - Title Only,Refinance,95000.00,1.00,40.00,526.00,4.00,10.00,45.00
17-500076,2,3863,CA,Title & Full Escrow,Refinance,319000.00,1.00,69.00,1125.00,20.00,17.00,49.00
17-500078,2,3863,CA,LCP - Title Only,Refinance,80000.00,2.00,48.00,1059.00,7.00,16.00,19.00
17-500079,2,3860,OH,Title Only & Sub Escrow,Refinance,213000.00,1.00,94.00,1759.00,22.00,53.00,220.00
2301-200044,1,3860,PA,Title and Escrow,Reverse Mortgage,170000.00,1.00,52.00,531.00,19.00,8.00,45.00
17-500081,2,3863,CA,Reverse Mortgage - Title Only,Refinance,225000.00,1.00,35.00,484.00,22.00,6.00,45.00
17-500082,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),50000.00,1.00,41.00,566.00,8.00,16.00,89.00
2301-200047,1,3860,VA,Title and Escrow,Reverse Mortgage,204360.00,2.00,80.00,1503.00,28.00,48.00,59.00
2301-200048,1,3863,AZ,Title and Escrow,Reverse Mortgage,131040.00,1.00,88.00,1533.00,19.00,47.00,60.00
17-500085,2,3863,CA,Title & Full Escrow,Refinance,119000.00,1.00,73.00,974.00,17.00,14.00,74.00
17-500086,2,3863,CA,Title & Full Escrow,Refinance,142250.00,4.00,81.00,1249.00,23.00,21.00,74.00
17-500087,2,3863,CA,Title & Full Escrow,Refinance,267000.00,2.00,74.00,1091.00,21.00,17.00,75.00
17-500088,2,3863,CA,Title & Full Escrow,Refinance,40000.00,1.00,52.00,513.00,22.00,10.00,45.00
2301-200050,1,3860,GA,Title and Escrow,Reverse Mortgage,215000.00,1.00,76.00,777.00,20.00,17.00,45.00
2301-200051,1,3860,IL,Title and Escrow,Reverse Mortgage,68000.00,1.00,81.00,783.00,18.00,21.00,45.00
17-500089,2,3860,MS,Title & Sub-Escrow,Refinance,94000.00,1.00,36.00,613.00,23.00,7.00,45.00
2301-200052,1,3863,FL,Title and Escrow,Reverse Mortgage,384682.50,2.00,81.00,1462.00,32.00,40.00,68.00
17-500090,2,3863,FL,Title Only,Refinance,159135.00,1.00,69.00,1081.00,32.00,25.00,34.00
17-500092,2,3860,IA,Title Only,Refinance,166998.00,1.00,43.00,1019.00,25.00,18.00,28.00
17-500094,2,3863,CA,LCP - Title Only,Refinance,40000.00,1.00,35.00,441.00,4.00,5.00,45.00
2301-200054,1,3863,CA,Title and Escrow,Reverse Mortgage,370921.50,3.00,70.00,1703.00,20.00,50.00,47.00
17-500095,2,3863,CA,LCP - Title Only,Refinance,96100.00,1.00,37.00,540.00,4.00,17.00,42.00
2301-200055,1,3863,CA,Title and Escrow,Reverse Mortgage,270000.00,1.00,47.00,444.00,18.00,4.00,45.00
17-500096,2,3863,CA,Title & Sub-Escrow,Refinance,184000.00,1.00,74.00,1257.00,18.00,36.00,56.00
2301-200057,1,3860,CO,Title and Escrow,Reverse Mortgage,335000.00,1.00,61.00,869.00,20.00,25.00,45.00
2301-200058,1,3863,CA,Title and Escrow,Reverse Mortgage,148264.00,1.00,66.00,1332.00,22.00,32.00,52.00
17-500097,2,3863,CA,Title Only,Refinance,68000.00,0.00,34.00,461.00,20.00,8.00,45.00
2301-200059,1,3863,CA,Title and Escrow,Reverse Mortgage,370921.50,1.00,112.00,2371.00,18.00,60.00,18.00
2301-200060,1,3860,IL,Title and Escrow,Reverse Mortgage,142000.00,0.00,58.00,545.00,18.00,11.00,45.00
17-500098,2,3863,CA,LCP & Sub-Escrow,Refinance,46600.00,1.00,78.00,1391.00,4.00,20.00,38.00
17-500099,2,3863,CA,LCP - Title Only,Refinance,50000.00,1.00,53.00,779.00,4.00,16.00,48.00
17-500100,2,3863,CA,Title Only,Refinance,168000.00,2.00,57.00,929.00,20.00,34.00,41.00
2301-200063,1,3860,AL,Title and Escrow,Reverse Mortgage,51240.00,1.00,90.00,1221.00,20.00,37.00,45.00
2301-200064,1,3863,CA,Title and Escrow,Reverse Mortgage,261796.31,2.00,84.00,1866.00,21.00,41.00,25.00
17-500101,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),130000.00,1.00,41.00,583.00,3.00,13.00,34.00
2301-200065,1,3860,PA,Title and Escrow,Reverse Mortgage,148000.00,4.00,53.00,789.00,26.00,10.00,45.00
17-500102,2,3863,AZ,Property Report / O&E - Title Only,Uninsured (Info Products),80000.00,1.00,52.00,727.00,4.00,13.00,48.00
17-500103,2,3863,CA,LCP - Title Only,Refinance,60000.00,1.00,35.00,449.00,4.00,6.00,45.00
2301-200066,1,3863,CA,Title and Escrow,Reverse Mortgage,50288.42,0.00,105.00,1843.00,17.00,60.00,33.00
2301-200067,1,3863,CA,Title and Escrow,Reverse Mortgage,362164.50,2.00,88.00,1572.00,20.00,48.00,28.00
2301-200068,1,3863,CA,Title and Escrow,Reverse Mortgage,234255.00,1.00,103.00,2322.00,17.00,94.00,47.00
2301-200069,1,3863,CA,Title and Escrow,Reverse Mortgage,288355.50,3.00,71.00,1667.00,20.00,50.00,60.00
17-500106,2,3863,CA,Title & Sub-Escrow,Refinance,132000.00,2.00,95.00,1613.00,23.00,39.00,53.00
2301-200070,1,3860,UT,Title and Escrow,Reverse Mortgage,354658.50,1.00,96.00,1532.00,21.00,47.00,52.00
17-500107,2,3863,CA,Title & Full Escrow,Refinance,625500.00,2.00,85.00,1389.00,20.00,45.00,49.00
17-500109,2,3863,CA,Title & Full Escrow,Refinance,382500.00,1.00,85.00,1345.00,19.00,34.00,49.00
17-500110,2,3863,CA,LCP - Title Only,Refinance,100.00,1.00,33.00,498.00,7.00,4.00,228.00
2301-200074,1,3863,NV,Title and Escrow,Reverse Mortgage,74090.00,0.00,87.00,1913.00,25.00,42.00,24.00
17-500112,2,3863,CA,Title Only,Refinance,200000.00,1.00,60.00,1048.00,19.00,33.00,40.00
17-500113,2,3863,CA,LCP - Title Only,Refinance,35250.00,1.00,48.00,687.00,4.00,11.00,62.00
17-500115,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),115000.00,2.00,43.00,591.00,6.00,12.00,46.00
17-500116,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),115000.00,2.00,27.00,340.00,7.00,7.00,202.00
17-500117,2,3863,CA,Title & Sub-Escrow,Refinance,380000.00,1.00,41.00,459.00,19.00,8.00,45.00
2301-200078,1,3863,CA,Title and Escrow,Reverse Mortgage,236550.00,1.00,92.00,1477.00,19.00,44.00,28.00
17-500119,2,3863,CA,Title Only,Refinance,263611.00,1.00,82.00,1143.00,15.00,33.00,65.00
17-500120,2,3860,IL,Title & Sub-Escrow,Refinance,167999.00,1.00,65.00,1486.00,23.00,44.00,57.00
17-500122,2,3863,FL,Title Only,Refinance,141729.00,1.00,65.00,1004.00,30.00,25.00,30.00
17-500123,2,3860,IL,Title & Sub-Escrow,Refinance,163817.00,1.00,76.00,1686.00,25.00,47.00,77.00
17-500124,2,3860,ME,Title Only,Refinance,123176.00,2.00,69.00,1226.00,23.00,42.00,72.00
17-500126,2,3860,OH,Title & Sub-Escrow,Refinance,104039.00,1.00,65.00,1375.00,23.00,41.00,57.00
2301-200081,1,3860,CO,Title and Escrow,Reverse Mortgage,285000.00,2.00,51.00,592.00,23.00,8.00,45.00
17-500128,2,3860,IL,Title & Sub-Escrow,Refinance,109406.00,1.00,58.00,1200.00,23.00,33.00,53.00
17-500129,2,3860,IL,Title & Sub-Escrow,Refinance,46637.00,1.00,72.00,1488.00,24.00,39.00,66.00
2301-200082,1,3860,ME,Title and Escrow,Reverse Mortgage,71298.00,1.00,90.00,1838.00,30.00,69.00,58.00
2301-200083,1,3863,FL,Title and Escrow,Reverse Mortgage,101920.00,1.00,97.00,1467.00,30.00,34.00,44.00
17-500130,2,3860,WI,Title Only,Refinance,123662.00,2.00,55.00,1020.00,22.00,35.00,53.00
2301-200087,1,3863,FL,Title and Escrow,Reverse Mortgage,134960.00,2.00,93.00,1657.00,37.00,46.00,35.00
2301-200088,1,3863,AZ,Title and Escrow,Reverse Mortgage,126075.00,0.00,95.00,1491.00,19.00,35.00,32.00
17-500131,2,3863,CA,Title & Sub-Escrow,Refinance,308500.00,1.00,38.00,388.00,17.00,4.00,45.00
2301-200089,1,3863,CA,Title and Escrow,Reverse Mortgage,256710.00,2.00,80.00,1456.00,18.00,44.00,23.00
2301-200092,1,3863,TX,Title and Escrow,Reverse Mortgage,152000.00,0.00,77.00,1051.00,6.00,25.00,45.00
17-500133,2,3863,CA,Title & Sub-Escrow,Refinance,53500.00,1.00,56.00,674.00,19.00,19.00,45.00
17-500134,2,3860,WI,Title Only,Refinance,176301.00,2.00,83.00,1362.00,22.00,45.00,72.00
17-500135,2,3860,GA,Title Only,Refinance,85222.00,1.00,74.00,1659.00,23.00,46.00,35.00
17-500136,2,3860,AL,Title Only,Refinance,81809.00,1.00,67.00,1284.00,23.00,35.00,70.00
2301-200096,1,3860,MI,Title and Escrow,Reverse Mortgage,180000.00,3.00,54.00,618.00,23.00,12.00,45.00
2301-200097,1,3863,AZ,Title and Escrow,Reverse Mortgage,66120.00,2.00,91.00,1574.00,19.00,43.00,58.00
2301-200098,1,3863,CA,Title and Escrow,Reverse Mortgage,150705.00,0.00,87.00,1660.00,17.00,34.00,30.00
17-500137,2,3863,CA,Title & Full Escrow,Refinance,574500.00,1.00,80.00,1258.00,19.00,30.00,100.00
2301-200100,1,3863,CA,Title and Escrow,Conventional - Refinance,659000.00,1.00,51.00,554.00,17.00,13.00,45.00
17-500138,2,3863,CA,Title & Sub-Escrow,Refinance,321733.00,1.00,55.00,808.00,16.00,20.00,43.00
2301-200101,1,3860,MI,Title and Escrow,Reverse Mortgage,304380.00,1.00,87.00,1422.00,25.00,39.00,38.00
2301-200104,1,3863,NV,Title and Escrow,Reverse Mortgage,167796.00,2.00,89.00,1829.00,26.00,46.00,30.00
17-500139,2,3860,CA,TSG - Trustee Sale Guarantee,TSG,352983.47,1.00,21.00,581.00,6.00,10.00,104.00
17-500140,2,3863,CA,TSG - Trustee Sale Guarantee,TSG,1531802.62,1.00,16.00,458.00,8.00,6.00,104.00
17-500141,2,3863,CA,TSG - Trustee Sale Guarantee,TSG,467173.56,1.00,19.00,538.00,15.00,12.00,104.00
17-500142,2,3863,CA,Title Only,Refinance,276000.00,2.00,67.00,980.00,21.00,34.00,41.00
17-500147,2,3863,CA,LCP - Title Only,Refinance,20000.00,2.00,70.00,1278.00,5.00,25.00,66.00
2301-200105,1,29189,DE,Title and Escrow,Reverse Mortgage,300000.00,0.00,50.00,506.00,2.00,8.00,45.00
17-500148,2,3863,CA,Title & Full Escrow,Refinance,247500.00,1.00,66.00,978.00,19.00,13.00,76.00
17-500149,2,3863,CA,Title Only,Refinance,211713.94,1.00,35.00,421.00,18.00,5.00,45.00
2301-200106,1,3863,FL,Title and Escrow,Reverse Mortgage,184275.00,0.00,100.00,1553.00,29.00,48.00,38.00
17-500150,2,3863,CA,Title Only,Refinance,890000.00,2.00,52.00,867.00,19.00,23.00,39.00
2301-200107,1,3860,MD,Title and Escrow,Reverse Mortgage,190160.07,1.00,99.00,1755.00,19.00,48.00,42.00
17-500152,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),1.00,0.00,31.00,399.00,4.00,5.00,199.00
17-500153,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),1.00,0.00,31.00,381.00,4.00,5.00,199.00
17-500154,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),1.00,0.00,34.00,418.00,6.00,8.00,199.00
17-500155,2,3860,UT,Title & Sub-Escrow,Refinance,450000.00,1.00,36.00,391.00,23.00,6.00,45.00
17-500157,2,3863,CA,Title & Sub-Escrow,Refinance,306000.00,2.00,73.00,1133.00,23.00,41.00,91.00
17-500158,2,3863,CA,Title & Full Escrow,Refinance,58000.00,1.00,86.00,1296.00,22.00,25.00,50.00
17-500159,2,3863,CA,LCP - Title Only,Refinance,20000.00,2.00,49.00,763.00,6.00,9.00,24.00
2301-200111,1,3860,ME,Title and Escrow,Reverse Mortgage,159250.00,2.00,147.00,3037.00,22.00,123.00,163.00
17-500160,2,3863,FL,Title Only,Refinance,146704.00,1.00,84.00,1226.00,31.00,32.00,52.00
17-500161,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),15000.00,1.00,49.00,616.00,3.00,15.00,63.00
17-500163,2,3863,CA,Title Only,Refinance,50000.00,1.00,42.00,879.00,18.00,18.00,31.00
17-500164,2,3863,CA,Title & Sub-Escrow,Refinance,386000.00,2.00,67.00,1085.00,19.00,32.00,35.00
17-500165,2,3863,CA,Title Only,Refinance,100000.00,0.00,39.00,556.00,19.00,7.00,45.00
17-500166,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),25000.00,1.00,44.00,595.00,4.00,13.00,34.00
17-500167,2,3860,UT,Title & Sub-Escrow,Refinance,274000.00,1.00,79.00,1254.00,21.00,35.00,45.00
17-500168,2,3863,CA,Title & Sub-Escrow,Refinance,220000.00,2.00,40.00,464.00,22.00,5.00,45.00
17-500169,2,3863,CA,Title Only,Refinance,353760.00,1.00,58.00,747.00,17.00,26.00,48.00
17-500170,2,3860,CA,Title Only,Refinance,67000.00,2.00,61.00,1130.00,22.00,29.00,44.00
17-500171,2,3860,CO,Title & Full Escrow,Refinance,135600.00,1.00,73.00,1051.00,23.00,18.00,45.00
17-500172,2,3863,CA,Title Only,Refinance,82000.00,1.00,56.00,782.00,19.00,30.00,45.00
17-500173,2,3860,CO,Title & Full Escrow,Refinance,246489.00,2.00,107.00,1300.00,23.00,30.00,69.00
17-500175,2,3863,CA,Title Only,Refinance,253002.00,1.00,73.00,1049.00,20.00,28.00,44.00
17-500176,2,3863,CA,Title & Full Escrow,Refinance,220000.00,2.00,70.00,1259.00,20.00,15.00,35.00
17-500177,2,3863,CA,LCP - Title Only,Refinance,30000.00,1.00,60.00,1000.00,17.00,26.00,37.00
17-500178,2,3860,IL,Title Only,Refinance,88000.00,1.00,30.00,484.00,23.00,7.00,45.00
17-500180,2,3863,CA,Title Only,Refinance,334000.00,1.00,68.00,1156.00,18.00,33.00,43.00
17-500181,2,3860,CO,Property Report / O&E - Title Only,Uninsured (Info Products),42000.00,1.00,41.00,568.00,4.00,12.00,29.00
17-500183,2,3860,UT,Title & Full Escrow,Refinance,161997.00,2.00,94.00,1478.00,25.00,36.00,51.00
17-500185,2,3863,CA,Title & Full Escrow,Refinance,302000.00,1.00,78.00,1129.00,18.00,23.00,101.00
2301-200114,1,3863,CA,Title and Escrow,Reverse Mortgage,300000.00,0.00,50.00,592.00,16.00,21.00,45.00
17-500186,2,3863,CA,Title & Full Escrow,Refinance,235000.00,1.00,82.00,1086.00,18.00,24.00,65.00
17-500187,2,3863,CA,Title & Full Escrow,Refinance,190000.00,1.00,68.00,976.00,20.00,16.00,49.00
2301-200116,1,3863,FL,Title and Escrow,Reverse Mortgage,625000.00,2.00,66.00,822.00,31.00,29.00,45.00
2301-200117,1,29189,WV,Title and Escrow,Reverse Mortgage,118500.00,0.00,52.00,524.00,1.00,17.00,45.00
17-500188,2,3863,CA,LCP - Title Only,Refinance,100000.00,1.00,41.00,776.00,4.00,15.00,31.00
17-500189,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),60000.00,1.00,38.00,595.00,5.00,10.00,41.00
17-500191,2,3860,TN,Title Only,Refinance,163821.00,1.00,57.00,865.00,24.00,26.00,52.00
2301-200120,1,3860,NJ,Title and Escrow,Reverse Mortgage,240000.00,1.00,58.00,652.00,10.00,11.00,45.00
2301-200121,1,3860,NJ,Title and Escrow,Reverse Mortgage,96300.00,0.00,99.00,1740.00,8.00,56.00,29.00
2301-200122,1,3863,FL,Title and Escrow,Reverse Mortgage,64920.00,0.00,95.00,1796.00,30.00,44.00,21.00
17-500193,2,3863,CA,Title Only,Refinance,159995.00,1.00,56.00,840.00,17.00,26.00,38.00
17-500194,2,3863,CA,Title & Full Escrow,Refinance,298050.00,1.00,70.00,1218.00,18.00,14.00,37.00
17-500195,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),222750.00,1.00,42.00,625.00,4.00,12.00,63.00
17-500197,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),1.00,2.00,29.00,336.00,5.00,4.00,199.00
2301-200123,1,3860,IL,Title and Escrow,Reverse Mortgage,40000.00,1.00,76.00,1147.00,21.00,30.00,49.00
