"vCoverageType(p0)","vCoverageType(p1)","vCoverageType(p2)","vTransaction(p0)","vTransaction(p1)","vTransaction(p2)","vTransaction(p3)","vTransaction(p4)","nLoanAmount","nLiens","nAuditEntries","nTotalNotes","oCancelled","oNumDays"
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0463629096722622,0.15,0.013197702457352,0.0128205128269231,1,0.177165354330709
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0244604316546763,0,0.00905727323690272,0.00598290598076923,1,0.177165354330709
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0231814548361311,0,0.00996252837409087,0.00512820513461539,1,0.177165354330709
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.5,0.5,1,0.0180655475619504,0.1,0.0135952091061206,0.00961538461538462,0,0.110236220472441
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0133269384492406,0,0.0514934926965236,0.0336538461538462,0,0.110236220472441
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0607,0,0.00651959081146604,0.00256410255769231,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0191846522781775,0.05,0.00637118833193038,0.00256410255769231,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0155347721822542,0.05,0.0164214813581625,0.0120192307692308,0,0.220472440944882
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0539568345323741,0.05,0.00573305766725578,0.002991453,1,0.177165354330709
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.021382893685052,0,0.028899826511576,0.0246548323461538,0,0.153543307086614
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.199840127897682,0,0.00298761176512668,0.002991453,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.5,0.5,1,0.00959232613908873,0.05,0.0115013085828665,0.00596816976923077,0,0.114173228346457
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0233413269384492,0.05,0.0134351464299516,0.0115384615384615,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0320245803357314,0,0.0255265239564219,0.0236686390576923,0,0.153543307086614
