sFileNumber,vOffice,vCoverageType,vState,vProduct,vTransaction,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-513903,2,3863,CA,LCP - Title Only,Refinance,36000.0000000,166400.0000000,-130400.0000000,1.0000000,33.0000000,23.384615384615400,4.0000000,0.269230769230769,0.0000000,26.0000000
17-513905,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),149700.0000000,366400.0000000,-216700.0000000,2.0000000,35.0000000,17.827586206896600,7.0000000,0.310344827586207,0.0000000,29.0000000
17-513927,2,3862,CA,Title & Sub-Escrow,Refinance,417000.0000000,463377.0000000,-46377.0000000,2.0000000,51.0000000,34.680000000000000,20.0000000,0.680000000000000,0.0000000,25.0000000
17-513931,2,3863,CA,LCP - Title Only,Refinance,11000.0000000,234945.0000000,-223945.0000000,1.0000000,34.0000000,20.821428571428600,4.0000000,0.285714285714286,0.0000000,28.0000000
2301-207472,1,3863,CA,Title and Escrow,Reverse Mortgage,110400.0000000,120700.0000000,-10300.0000000,2.0000000,76.0000000,75.777777777777800,20.0000000,2.166666666666670,0.0000000,18.0000000
17-513936,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),150650.0000000,537600.0000000,-386950.0000000,1.0000000,44.0000000,34.904761904761900,6.0000000,0.476190476190476,0.0000000,21.0000000
2301-207475,1,3860,MA,Title and Escrow,Reverse Mortgage,123140.0000000,117000.0000000,6140.0000000,2.0000000,90.0000000,46.259259259259300,24.0000000,1.666666666666670,0.0000000,27.0000000
17-513937,2,3863,CA,LCP - Title Only,Refinance,30000.0000000,279000.0000000,-249000.0000000,1.0000000,34.0000000,21.200000000000000,3.0000000,0.480000000000000,0.0000000,25.0000000
2301-207476,1,3860,UT,Title and Escrow,Reverse Mortgage,82544.0000000,81500.0000000,1044.0000000,1.0000000,74.0000000,42.074074074074100,21.0000000,1.111111111111110,0.0000000,27.0000000
17-513939,2,3863,CA,Title Only,Refinance,1100000.0000000,1300000.0000000,-200000.0000000,1.0000000,41.0000000,26.625000000000000,19.0000000,0.375000000000000,0.0000000,24.0000000
17-513940,2,3863,CA,Title Only,Refinance,200000.0000000,380000.0000000,-180000.0000000,2.0000000,47.0000000,20.218750000000000,18.0000000,0.312500000000000,0.0000000,32.0000000
17-513941,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),72500.0000000,294415.0000000,-221915.0000000,1.0000000,32.0000000,29.117647058823500,6.0000000,0.411764705882353,0.0000000,17.0000000
17-513942,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),11350.0000000,127900.0000000,-116550.0000000,1.0000000,37.0000000,31.411764705882400,5.0000000,0.647058823529412,0.0000000,17.0000000
17-513943,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),37500.0000000,336000.0000000,-298500.0000000,1.0000000,33.0000000,21.416666666666700,6.0000000,0.541666666666667,0.0000000,24.0000000
17-513946,2,3863,CA,LCP - Title Only,Refinance,15000.0000000,124000.0000000,-109000.0000000,1.0000000,34.0000000,31.055555555555600,5.0000000,0.611111111111111,0.0000000,18.0000000
2301-207506,1,3863,CA,Title and Escrow,Reverse Mortgage,230550.0000000,187000.0000000,43550.0000000,2.0000000,76.0000000,70.000000000000000,17.0000000,2.722222222222220,0.0000000,18.0000000
17-513955,2,3863,CA,LCP - Title Only,Refinance,60000.0000000,216000.0000000,-156000.0000000,1.0000000,31.0000000,18.423076923076900,3.0000000,0.384615384615385,0.0000000,26.0000000
17-513957,2,3863,CA,LCP - Title Only,Refinance,38000.0000000,121500.0000000,-83500.0000000,1.0000000,35.0000000,39.571428571428600,4.0000000,0.857142857142857,0.0000000,14.0000000
2301-207510,1,3863,CA,Title and Escrow,Reverse Mortgage,121597.0000000,110000.0000000,11597.0000000,1.0000000,64.0000000,32.382352941176500,15.0000000,1.264705882352940,0.0000000,34.0000000
17-513965,2,3860,CO,Property Report / O&E - Title Only,Uninsured (Info Products),40000.0000000,281100.0000000,-241100.0000000,2.0000000,38.0000000,20.800000000000000,6.0000000,0.440000000000000,0.0000000,25.0000000
17-513968,2,3860,MD,Title & Full Escrow,Refinance,60000.0000000,370500.0000000,-310500.0000000,1.0000000,89.0000000,35.406250000000000,23.0000000,0.593750000000000,0.0000000,32.0000000
17-513969,2,3863,CA,Title & Full Escrow,Refinance,400000.0000000,330801.0000000,69199.0000000,2.0000000,40.0000000,8.222222222222220,19.0000000,0.088888888888889,1.0000000,45.0000000
17-513971,2,3860,OR,Property Report / O&E & Full Escrow,Uninsured (Info Products),170000.0000000,522000.0000000,-352000.0000000,2.0000000,67.0000000,21.114285714285700,5.0000000,0.428571428571429,0.0000000,35.0000000
2301-207517,1,3860,IL,Title and Escrow,Reverse Mortgage,21570.0000000,0.0000000,21570.0000000,0.0000000,81.0000000,43.291666666666700,20.0000000,1.708333333333330,0.0000000,24.0000000
17-513976,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),18950.0000000,274500.0000000,-255550.0000000,1.0000000,38.0000000,20.160000000000000,4.0000000,0.320000000000000,0.0000000,25.0000000
2301-207522,1,3863,CA,Title and Escrow,Reverse Mortgage,162855.0000000,181000.0000000,-18145.0000000,2.0000000,68.0000000,40.000000000000000,16.0000000,1.375000000000000,0.0000000,32.0000000
2301-207523,1,3863,FL,Title and Escrow,Reverse Mortgage,302880.0000000,303211.5700000,-331.5700000,2.0000000,74.0000000,70.941176470588200,28.0000000,2.470588235294120,0.0000000,17.0000000
17-513981,2,3860,CO,Property Report / O&E - Title Only,Uninsured (Info Products),151300.0000000,285000.0000000,-133700.0000000,1.0000000,37.0000000,20.560000000000000,5.0000000,0.400000000000000,0.0000000,25.0000000
17-513982,2,3863,CA,LCP & Sub-Escrow,Refinance,35000.0000000,255000.0000000,-220000.0000000,2.0000000,41.0000000,39.411764705882400,5.0000000,1.294117647058820,0.0000000,17.0000000
