sFileNumber,vCoverageType,vProduct,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
2301-201438,3860,Title and Escrow,210000.00,4.00,57.00,802.00,27.00,20.00,1.00,45.00
2301-201440,3860,Title and Escrow,141775.00,0.00,86.00,1435.00,17.00,46.00,0.00,21.00
2301-201441,3863,Title and Escrow,78824.00,0.00,84.00,1431.00,23.00,41.00,0.00,26.00
17-502904,3860,Property Report / O&E - Title Only,250000.00,1.00,42.00,535.00,4.00,12.00,0.00,27.00
17-502906,3860,Property Report / O&E - Title Only,80000.00,1.00,42.00,683.00,4.00,16.00,0.00,55.00
17-502907,3863,LCP - Title Only,60000.00,1.00,43.00,656.00,4.00,13.00,0.00,35.00
17-502908,3863,LCP - Title Only,100000.00,0.00,29.00,334.00,4.00,4.00,1.00,45.00
17-502909,3863,Title & Full Escrow,77250.00,0.00,85.00,1394.00,31.00,42.00,0.00,96.00
2301-201442,3863,Title and Escrow,900000.00,1.00,54.00,595.00,20.00,11.00,1.00,45.00
17-502910,3860,Property Report / O&E & Full Escrow,60000.00,2.00,81.00,931.00,3.00,26.00,0.00,58.00
17-502911,3863,LCP - Title Only,100000.00,1.00,36.00,417.00,4.00,6.00,1.00,45.00
2301-201443,3863,Title and Escrow,149872.00,0.00,70.00,1348.00,20.00,38.00,0.00,40.00
17-502912,3860,Property Report / O&E - Title Only,68900.00,1.00,42.00,560.00,4.00,13.00,0.00,42.00
17-502913,3863,City of Sacramento Prelim,1000.00,3.00,34.00,688.00,24.00,5.00,0.00,156.00
17-502914,3863,Property Report / O&E - Title Only,68300.00,1.00,31.00,354.00,5.00,3.00,0.00,156.00
2301-201444,3860,Title and Escrow,397192.50,1.00,79.00,1434.00,25.00,46.00,0.00,30.00
17-502915,3860,Property Report / O&E - Title Only,101700.00,1.00,42.00,579.00,5.00,11.00,0.00,43.00
17-502916,3860,Property Report / O&E - Title Only,73900.00,1.00,42.00,574.00,5.00,14.00,0.00,42.00
2301-201446,3863,Title and Escrow,218400.00,1.00,67.00,1404.00,19.00,35.00,0.00,57.00
17-502917,3863,Property Report / O&E - Title Only,50000.00,0.00,26.00,343.00,10.00,3.00,0.00,156.00
17-502918,3860,Title & Sub-Escrow,130000.00,1.00,62.00,1101.00,26.00,41.00,0.00,90.00
17-502919,3860,Property Report / O&E - Title Only,113050.00,1.00,42.00,561.00,4.00,12.00,0.00,42.00
17-502920,3860,Property Report / O&E - Title Only,75000.00,1.00,42.00,524.00,4.00,13.00,0.00,29.00
17-502921,3860,Property Report / O&E - Title Only,84000.00,1.00,44.00,720.00,4.00,16.00,0.00,55.00
17-502922,3860,Property Report / O&E - Title Only,149750.00,1.00,48.00,584.00,4.00,20.00,0.00,30.00
17-502923,3863,Title & Sub-Escrow,201805.00,2.00,38.00,480.00,21.00,6.00,1.00,45.00
17-502924,3863,LCP - Title Only,24000.00,1.00,48.00,763.00,4.00,15.00,0.00,42.00
2301-201450,3863,Title and Escrow,80000.00,0.00,58.00,671.00,16.00,20.00,1.00,45.00
17-502925,3860,Property Report / O&E - Title Only,15000.00,1.00,43.00,619.00,4.00,14.00,0.00,65.00
17-502926,3863,LCP - Title Only,20000.00,1.00,44.00,631.00,4.00,12.00,0.00,35.00
2301-201451,3860,Title and Escrow,105000.00,7.00,61.00,816.00,25.00,28.00,1.00,45.00
17-502927,3860,Property Report / O&E - Title Only,202200.00,2.00,42.00,535.00,5.00,12.00,0.00,33.00
17-502929,3860,Property Report / O&E - Title Only,50000.00,1.00,27.00,325.00,4.00,5.00,0.00,156.00
17-502930,3860,Property Report / O&E - Title Only,60000.00,1.00,27.00,323.00,4.00,5.00,0.00,156.00
17-502931,3860,Property Report / O&E - Title Only,25000.00,1.00,46.00,657.00,4.00,16.00,0.00,30.00
17-502932,3860,Title Only,248536.00,1.00,59.00,837.00,18.00,20.00,0.00,37.00
2301-201452,3863,Title and Escrow,302450.00,2.00,68.00,1222.00,19.00,40.00,0.00,28.00
2301-201453,3863,Title and Escrow,181235.00,2.00,67.00,1227.00,18.00,31.00,0.00,58.00
2301-201454,3863,Title and Escrow,368419.50,1.00,67.00,1099.00,18.00,32.00,0.00,40.00
17-502933,3860,Property Report / O&E - Title Only,125000.00,1.00,42.00,524.00,4.00,14.00,0.00,30.00
17-502934,3860,Property Report / O&E & Full Escrow,368650.00,2.00,65.00,816.00,5.00,23.00,0.00,33.00
17-502935,3860,Property Report / O&E - Title Only,111200.00,1.00,42.00,546.00,4.00,11.00,0.00,47.00
17-502936,3860,Title Only,96300.00,2.00,55.00,824.00,23.00,25.00,0.00,56.00
17-502937,3860,Property Report / O&E - Title Only,74300.00,1.00,42.00,549.00,5.00,12.00,0.00,27.00
17-502938,3863,Property Report / O&E - Title Only,50000.00,1.00,44.00,544.00,6.00,12.00,0.00,26.00
17-502939,3860,Property Report / O&E - Title Only,10000.00,1.00,42.00,535.00,4.00,13.00,0.00,30.00
17-502940,3860,Title & Full Escrow,73000.00,1.00,42.00,462.00,20.00,8.00,1.00,45.00
2301-201455,3863,Title and Escrow,249300.00,1.00,77.00,1222.00,19.00,34.00,0.00,23.00
2301-201456,3860,Title and Escrow,81503.00,0.00,81.00,1605.00,21.00,48.00,0.00,33.00
2301-201457,3863,Title and Escrow,397192.50,1.00,90.00,1891.00,19.00,55.00,0.00,77.00
2301-201458,3863,Title and Escrow,85502.53,0.00,72.00,1020.00,16.00,26.00,0.00,28.00
17-502941,3860,Title & Sub-Escrow,165899.00,2.00,86.00,1780.00,23.00,80.00,0.00,86.00
17-502942,3863,LCP & Sub-Escrow,60000.00,1.00,40.00,563.00,4.00,14.00,0.00,19.00
2301-201459,3860,Title and Escrow,145000.00,2.00,68.00,809.00,22.00,26.00,1.00,45.00
2301-201460,3863,Title and Escrow,276051.00,1.00,71.00,1276.00,18.00,46.00,0.00,23.00
17-502943,3860,Title Only,150000.00,1.00,33.00,597.00,19.00,15.00,0.00,19.00
17-502944,3860,Title Only,171000.00,1.00,58.00,757.00,20.00,27.00,0.00,47.00
2301-201461,3863,Title and Escrow,109725.00,1.00,61.00,977.00,17.00,26.00,0.00,27.00
17-502945,3863,Title & Sub-Escrow,920550.00,2.00,64.00,908.00,20.00,27.00,0.00,78.00
17-502946,3863,Title & Sub-Escrow,335041.00,1.00,37.00,404.00,18.00,4.00,1.00,45.00
17-502947,3863,Title & Sub-Escrow,352000.00,3.00,37.00,417.00,22.00,4.00,1.00,45.00
2301-201462,3863,Title and Escrow,397192.50,1.00,66.00,1135.00,18.00,46.00,0.00,76.00
17-502948,3860,Title Only,101250.00,1.00,58.00,756.00,20.00,24.00,0.00,37.00
2301-201463,3860,Title and Escrow,187600.00,2.00,92.00,1296.00,22.00,41.00,0.00,195.00
17-502949,3863,Title Only,127333.00,1.00,42.00,511.00,19.00,11.00,1.00,45.00
2301-201464,3863,Title and Escrow,189000.00,1.00,56.00,622.00,7.00,15.00,1.00,45.00
17-502950,3860,Search Only,0.00,0.00,28.00,305.00,0.00,12.00,0.00,156.00
17-502951,3863,Title & Full Escrow,79400.00,1.00,88.00,1287.00,31.00,24.00,0.00,56.00
2301-201466,3860,Title and Escrow,124440.00,0.00,81.00,1352.00,24.00,38.00,0.00,21.00
17-502952,3863,Title & Full Escrow,222750.00,2.00,71.00,937.00,20.00,16.00,0.00,55.00
17-502954,3863,Title & Full Escrow,259900.00,1.00,69.00,1013.00,24.00,20.00,0.00,33.00
17-502955,3863,Title & Full Escrow,186250.00,1.00,69.00,933.00,15.00,17.00,0.00,175.00
17-502958,3863,Property Report / O&E - Title Only,65000.00,0.00,35.00,469.00,6.00,8.00,0.00,19.00
2301-201468,3860,Title and Escrow,124553.52,0.00,107.00,1542.00,20.00,48.00,0.00,49.00
17-502960,3863,Title Only,245337.00,1.00,32.00,409.00,19.00,5.00,1.00,45.00
2301-201469,3860,Title and Escrow,350000.00,0.00,56.00,688.00,19.00,15.00,1.00,45.00
2301-201470,3863,Title and Escrow,450000.00,3.00,59.00,635.00,21.00,14.00,1.00,45.00
17-502961,3863,Title & Sub-Escrow,186200.00,1.00,53.00,842.00,20.00,21.00,0.00,61.00
17-502963,3863,Title & Sub-Escrow,447000.00,2.00,59.00,1015.00,24.00,31.00,0.00,51.00
17-502964,3863,Title & Full Escrow,120000.00,0.00,69.00,850.00,17.00,16.00,0.00,58.00
17-502966,3863,Title & Full Escrow,147000.00,1.00,102.00,1325.00,29.00,26.00,0.00,86.00
2301-201471,3863,Title and Escrow,335000.00,1.00,45.00,367.00,16.00,4.00,1.00,45.00
17-502967,3863,Title & Sub-Escrow,216481.00,1.00,64.00,1008.00,20.00,24.00,0.00,50.00
