sFileNumber,vCoverageType,vProduct,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-505008,3863,Title & Full Escrow,84600.00,1.00,49.00,451.00,19.00,9.00,1.00,45.00
17-505009,3860,Title Only,59676.00,1.00,60.00,958.00,27.00,30.00,0.00,50.00
2301-202551,3863,Title and Escrow,500000.00,1.00,51.00,591.00,19.00,10.00,1.00,45.00
17-505010,3860,Title & Sub-Escrow,183150.00,1.00,58.00,929.00,21.00,28.00,0.00,33.00
2301-202552,3863,Title and Escrow,388435.50,0.00,84.00,1301.00,15.00,45.00,0.00,39.00
2301-202553,3863,Title and Escrow,325416.00,2.00,72.00,1379.00,21.00,65.00,0.00,28.00
2301-202554,3863,Title and Escrow,66002.00,0.00,73.00,1107.00,17.00,39.00,0.00,50.00
17-505014,3860,Title & Sub-Escrow,171245.00,2.00,69.00,1034.00,26.00,31.00,0.00,68.00
17-505015,3863,Property Report / O&E - Title Only,60000.00,1.00,30.00,460.00,6.00,7.00,0.00,15.00
2301-202555,3860,Title and Escrow,82500.00,0.00,70.00,1312.00,21.00,42.00,0.00,43.00
17-505017,3863,Title & Full Escrow,125000.00,0.00,57.00,758.00,1.00,6.00,1.00,45.00
17-505019,3863,Title & Sub-Escrow,400600.00,1.00,52.00,862.00,20.00,23.00,0.00,57.00
17-505020,3863,Title & Sub-Escrow,620000.00,1.00,57.00,915.00,20.00,23.00,0.00,54.00
2301-202557,3863,Title and Escrow,352782.00,1.00,68.00,1152.00,17.00,42.00,0.00,32.00
17-505022,3863,Title & Sub-Escrow,301000.00,1.00,53.00,827.00,18.00,22.00,0.00,55.00
2301-202559,3863,Title and Escrow,106200.00,0.00,89.00,1398.00,33.00,43.00,0.00,20.00
17-505023,3863,Property Report / O&E - Title Only,1.00,0.00,19.00,184.00,0.00,5.00,1.00,45.00
17-505024,3863,LCP - Title Only,33000.00,1.00,35.00,609.00,4.00,11.00,0.00,21.00
17-505026,3860,Reverse Mortgage - Title & Full Escrow,156484.00,0.00,97.00,1487.00,19.00,45.00,0.00,63.00
17-505027,3863,LCP & Sub-Escrow,50000.00,1.00,27.00,491.00,4.00,16.00,0.00,19.00
17-505028,3863,Title Only,20000.00,0.00,35.00,608.00,18.00,14.00,0.00,15.00
17-505029,3863,Title & Full Escrow,137900.00,2.00,64.00,927.00,22.00,18.00,0.00,29.00
2301-202561,3860,Title and Escrow,69000.00,0.00,62.00,1027.00,17.00,22.00,0.00,22.00
17-505031,3863,Title & Full Escrow,160410.00,1.00,71.00,875.00,17.00,18.00,0.00,33.00
17-505032,3863,LCP - Title Only,40000.00,1.00,35.00,623.00,4.00,9.00,0.00,35.00
17-505033,3863,Title & Full Escrow,195000.00,1.00,59.00,827.00,18.00,16.00,0.00,49.00
2301-202562,3863,Title and Escrow,412830.00,1.00,69.00,1256.00,15.00,28.00,0.00,61.00
17-505034,3863,Title & Full Escrow,417000.00,1.00,62.00,863.00,17.00,15.00,0.00,27.00
17-505035,3863,Title & Full Escrow,190000.00,1.00,55.00,784.00,17.00,11.00,0.00,33.00
17-505037,3863,Title & Full Escrow,159200.00,2.00,58.00,1046.00,21.00,19.00,0.00,36.00
17-505038,3860,Title & Full Escrow,180676.00,2.00,62.00,779.00,22.00,15.00,1.00,45.00
17-505039,3863,LCP - Title Only,75000.00,1.00,25.00,340.00,4.00,4.00,1.00,45.00
17-505040,3860,Title & Full Escrow,156000.00,2.00,68.00,922.00,22.00,16.00,0.00,26.00
17-505042,3860,Title & Full Escrow,402200.00,1.00,80.00,1390.00,22.00,33.00,0.00,57.00
17-505043,3863,Title Only,100000.00,0.00,69.00,1344.00,17.00,27.00,0.00,67.00
17-505044,3860,Reverse Mortgage - Title & Sub-Escrow,82000.00,1.00,30.00,471.00,22.00,10.00,1.00,45.00
17-505045,3863,Title & Full Escrow,329900.00,1.00,61.00,1063.00,18.00,12.00,0.00,28.00
17-505046,3863,LCP - Title Only,75000.00,2.00,25.00,345.00,7.00,4.00,1.00,45.00
17-505047,3863,LCP - Title Only,85000.00,1.00,24.00,341.00,4.00,5.00,1.00,45.00
17-505048,3863,LCP - Title Only,100000.00,1.00,24.00,351.00,4.00,4.00,1.00,45.00
17-505049,3863,Title & Full Escrow,102000.00,2.00,40.00,411.00,19.00,5.00,1.00,45.00
17-505050,3863,LCP - Title Only,20000.00,1.00,25.00,385.00,4.00,5.00,1.00,45.00
17-505051,3863,LCP - Title Only,100.00,1.00,23.00,324.00,7.00,2.00,0.00,152.00
17-505053,3860,TSG - Trustee Sale Guarantee,204112.67,5.00,11.00,434.00,16.00,5.00,0.00,31.00
17-505054,3860,TSG - Trustee Sale Guarantee,128038.28,1.00,11.00,411.00,13.00,6.00,0.00,31.00
17-505055,3863,Title Only,131918.00,1.00,53.00,743.00,30.00,19.00,0.00,47.00
2301-202564,3863,Title and Escrow,365000.00,1.00,48.00,591.00,8.00,6.00,1.00,45.00
2301-202565,3860,Title and Escrow,140000.00,2.00,67.00,871.00,25.00,19.00,1.00,45.00
17-505057,3860,Title Only,115374.00,2.00,64.00,1023.00,27.00,35.00,0.00,53.00
17-505058,3863,Property Report / O&E - Title Only,60000.00,1.00,30.00,459.00,6.00,7.00,0.00,49.00
17-505059,3860,Title Only,125187.00,1.00,50.00,962.00,22.00,23.00,0.00,18.00
2301-202567,3863,Title and Escrow,625500.00,0.00,41.00,399.00,17.00,4.00,1.00,45.00
17-505060,3863,LCP - Title Only,60000.00,1.00,36.00,645.00,4.00,12.00,0.00,27.00
17-505061,3860,Property Report / O&E - Title Only,20000.00,1.00,37.00,577.00,3.00,13.00,0.00,35.00
17-505062,3863,Property Report / O&E - Title Only,150000.00,2.00,36.00,640.00,8.00,11.00,0.00,46.00
17-505064,3860,Property Report / O&E - Title Only,20000.00,1.00,37.00,605.00,3.00,15.00,0.00,35.00
17-505065,3863,LCP - Title Only,50000.00,1.00,41.00,875.00,4.00,13.00,0.00,33.00
17-505066,3860,Property Report / O&E - Title Only,40000.00,3.00,39.00,542.00,6.00,13.00,0.00,35.00
17-505067,3863,Title Only,132282.00,1.00,46.00,690.00,31.00,20.00,0.00,49.00
17-505068,3860,Property Report / O&E - Title Only,88350.00,1.00,40.00,567.00,4.00,13.00,0.00,42.00
17-505069,3863,Title Only,95339.00,1.00,76.00,888.00,31.00,26.00,0.00,82.00
17-505070,3860,Property Report / O&E - Title Only,100000.00,3.00,24.00,309.00,6.00,5.00,0.00,108.00
17-505071,3860,Property Report / O&E - Title Only,101750.00,1.00,37.00,555.00,4.00,11.00,0.00,35.00
17-505076,3860,Property Report / O&E - Title Only,250000.00,2.00,24.00,300.00,5.00,4.00,0.00,108.00
17-505077,3863,LCP - Title Only,50000.00,1.00,25.00,336.00,4.00,4.00,1.00,45.00
17-505078,3860,Property Report / O&E - Title Only,15000.00,1.00,40.00,543.00,3.00,11.00,0.00,38.00
17-505079,3860,Property Report / O&E - Title Only,20000.00,1.00,40.00,571.00,3.00,11.00,0.00,39.00
17-505080,3863,Property Report / O&E - Title Only,30000.00,1.00,30.00,426.00,6.00,7.00,0.00,17.00
17-505081,3863,Title & Full Escrow,30000.00,3.00,71.00,1417.00,20.00,39.00,0.00,119.00
17-505082,3860,Property Report / O&E - Title Only,150000.00,1.00,40.00,566.00,4.00,12.00,0.00,39.00
17-505084,3860,Property Report / O&E - Title Only,149250.00,1.00,41.00,573.00,4.00,13.00,0.00,35.00
17-505085,3860,Property Report / O&E & Full Escrow,150000.00,1.00,73.00,811.00,2.00,24.00,0.00,47.00
17-505086,3860,Property Report / O&E & Full Escrow,65700.00,2.00,64.00,776.00,5.00,21.00,0.00,25.00
2301-202568,3863,Title and Escrow,116856.00,0.00,89.00,1345.00,26.00,38.00,0.00,53.00
17-505087,3863,Property Report / O&E - Title Only,100000.00,2.00,31.00,522.00,8.00,9.00,0.00,26.00
17-505088,3860,Property Report / O&E - Title Only,80000.00,1.00,39.00,573.00,3.00,11.00,0.00,55.00
17-505090,3863,LCP - Title Only,75000.00,2.00,24.00,350.00,6.00,4.00,1.00,45.00
2301-202569,29189,Title and Escrow,62208.00,0.00,77.00,1186.00,2.00,40.00,0.00,138.00
17-505091,3860,Title & Sub-Escrow,152300.00,1.00,54.00,928.00,26.00,24.00,0.00,34.00
17-505092,3863,Title Only,250000.00,0.00,26.00,424.00,18.00,7.00,1.00,45.00
17-505094,3863,LCP - Title Only,56000.00,1.00,36.00,607.00,5.00,10.00,0.00,31.00
17-505096,3860,Title Only,109500.00,1.00,86.00,1136.00,23.00,47.00,0.00,80.00
17-505097,3863,Title Only,40000.00,1.00,22.00,412.00,21.00,5.00,1.00,45.00
17-505098,3863,Title Only,86900.00,0.00,92.00,1292.00,19.00,19.00,0.00,33.00
2301-202571,3863,Title and Escrow,117200.00,1.00,72.00,1214.00,20.00,43.00,0.00,47.00
17-505099,3863,Property Report / O&E - Title Only,1.00,1.00,27.00,436.00,9.00,9.00,0.00,126.00
17-505100,3863,LCP - Title Only,50000.00,1.00,32.00,556.00,4.00,10.00,0.00,21.00
2301-202572,3863,Title and Escrow,180180.00,1.00,77.00,1309.00,20.00,47.00,0.00,25.00
17-505101,3863,LCP - Title Only,60000.00,1.00,35.00,618.00,4.00,9.00,0.00,19.00
17-505102,3863,LCP - Title Only,49000.00,1.00,36.00,584.00,4.00,10.00,0.00,14.00
17-505103,3863,Legal & Vesting - Title Only,53722.98,0.00,31.00,452.00,0.00,9.00,0.00,33.00
17-505105,3863,Property Report / O&E - Title Only,20000.00,3.00,30.00,453.00,8.00,13.00,0.00,19.00
17-505106,3863,Title & Sub-Escrow,417000.00,2.00,54.00,1005.00,21.00,23.00,0.00,35.00
17-505107,3863,LCP - Title Only,75000.00,1.00,35.00,597.00,4.00,12.00,0.00,27.00
17-505108,3863,LCP - Title Only,50000.00,0.00,35.00,649.00,4.00,14.00,0.00,32.00
2301-202576,3860,Title and Escrow,205500.00,1.00,57.00,750.00,20.00,21.00,1.00,45.00
2301-202577,3860,Title and Escrow,77090.00,0.00,84.00,1691.00,26.00,49.00,0.00,21.00
17-505109,3863,Title & Full Escrow,181600.00,1.00,61.00,938.00,17.00,18.00,0.00,60.00
17-505110,3863,Title Only,193000.00,1.00,51.00,876.00,19.00,26.00,0.00,49.00
17-505111,3863,Title & Sub-Escrow,368500.00,2.00,30.00,441.00,22.00,4.00,1.00,45.00
2301-202578,3863,Title and Escrow,125664.00,0.00,72.00,1227.00,26.00,32.00,0.00,31.00
2301-202579,3860,Title and Escrow,146070.00,0.00,82.00,1379.00,20.00,42.00,0.00,42.00
17-505112,3863,Property Report / O&E - Title Only,400000.00,1.00,27.00,385.00,10.00,6.00,0.00,126.00
17-505114,3863,Title & Full Escrow,115000.00,2.00,70.00,885.00,34.00,19.00,1.00,45.00
17-505116,3863,Title & Full Escrow,55500.00,1.00,62.00,824.00,17.00,14.00,0.00,60.00
17-505117,3863,Title & Full Escrow,97600.00,2.00,61.00,912.00,19.00,18.00,0.00,60.00
17-505119,3863,Title Only,44756.00,1.00,73.00,990.00,28.00,32.00,0.00,87.00
17-505120,3860,Title Only,60134.00,4.00,68.00,1046.00,29.00,32.00,0.00,95.00
17-505121,3860,Title Only,307608.00,1.00,54.00,984.00,22.00,26.00,0.00,31.00
17-505122,3860,Title & Full Escrow,70461.00,1.00,60.00,864.00,21.00,14.00,0.00,28.00
17-505123,3863,Property Report / O&E - Title Only,40000.00,1.00,30.00,441.00,6.00,7.00,0.00,14.00
17-505124,3860,Title & Full Escrow,292000.00,2.00,63.00,941.00,23.00,18.00,0.00,56.00
17-505125,3860,Title & Full Escrow,132175.00,1.00,69.00,1038.00,21.00,25.00,0.00,28.00
17-505127,3863,Title Only,48000.00,2.00,31.00,698.00,20.00,12.00,0.00,73.00
17-505130,3863,Title & Full Escrow,135000.00,1.00,65.00,858.00,18.00,16.00,0.00,59.00
17-505131,3863,Title & Sub-Escrow,317000.00,1.00,28.00,415.00,20.00,5.00,1.00,45.00
2301-202583,3860,Title and Escrow,95000.00,0.00,43.00,353.00,1.00,7.00,1.00,45.00
17-505132,3863,LCP - Title Only,100.00,1.00,25.00,462.00,7.00,4.00,0.00,151.00
17-505133,3863,LCP - Title Only,30000.00,1.00,40.00,637.00,4.00,13.00,0.00,20.00
17-505135,3860,TSG - Trustee Sale Guarantee,255000.00,0.00,28.00,404.00,0.00,2.00,1.00,45.00
2301-202584,3863,Title and Escrow,142000.00,1.00,56.00,848.00,20.00,24.00,1.00,45.00
17-505136,3860,Title Only,57000.00,1.00,70.00,957.00,22.00,38.00,0.00,145.00
17-505137,3863,Title Only,100000.00,1.00,50.00,779.00,18.00,12.00,0.00,33.00
17-505138,3860,Reverse Mortgage - Title & Full Escrow,495000.00,2.00,83.00,1360.00,23.00,25.00,0.00,67.00
17-505139,3860,TSG - Trustee Sale Guarantee,225000.00,0.00,29.00,484.00,0.00,3.00,1.00,45.00
17-505140,3863,TSG - Trustee Sale Guarantee,225000.00,0.00,15.00,231.00,0.00,1.00,1.00,45.00
17-505141,3863,Title & Full Escrow,314500.00,2.00,86.00,1667.00,22.00,32.00,0.00,81.00
2301-202586,3860,Title and Escrow,90128.00,2.00,66.00,1445.00,23.00,41.00,0.00,12.00
17-505142,3863,Title Only,209600.00,1.00,34.00,527.00,18.00,15.00,0.00,38.00
2301-202587,3860,Title and Escrow,263438.00,0.00,65.00,1432.00,17.00,46.00,0.00,17.00
2301-202588,3863,Title and Escrow,250000.00,2.00,44.00,556.00,20.00,13.00,1.00,45.00
2301-202589,3863,Title and Escrow,117165.00,0.00,62.00,1100.00,16.00,40.00,0.00,45.00
2301-202590,3863,Title and Escrow,82002.00,0.00,70.00,1379.00,25.00,43.00,0.00,19.00
17-505143,3863,Title Only,250000.00,1.00,41.00,941.00,18.00,18.00,0.00,31.00
17-505144,3863,Title & Full Escrow,250000.00,2.00,57.00,915.00,24.00,17.00,0.00,56.00
17-505145,3863,LCP - Title Only,55000.00,1.00,36.00,637.00,4.00,13.00,0.00,21.00
17-505146,3863,Title Only,80000.00,1.00,40.00,755.00,17.00,18.00,0.00,31.00
17-505148,3860,Title Only,115893.00,1.00,77.00,1195.00,22.00,39.00,0.00,50.00
17-505149,3863,Title Only,93941.00,1.00,52.00,844.00,30.00,23.00,0.00,67.00
17-505151,3863,TSG - Trustee Sale Guarantee,500000.00,7.00,16.00,567.00,21.00,5.00,0.00,28.00
2301-202591,3863,Title and Escrow,125000.00,0.00,48.00,452.00,19.00,6.00,1.00,45.00
2301-202593,3860,Title and Escrow,1046520.00,3.00,50.00,610.00,24.00,23.00,1.00,45.00
17-505154,3863,Property Report / O&E - Title Only,75000.00,1.00,30.00,446.00,6.00,7.00,0.00,23.00
17-505155,3863,Title Only,474997.00,2.00,53.00,932.00,20.00,28.00,0.00,80.00
17-505156,3863,LCP - Title Only,100.00,15.00,30.00,576.00,23.00,5.00,0.00,148.00
17-505157,3863,LCP - Title Only,100.00,5.00,30.00,508.00,12.00,3.00,0.00,148.00
17-505158,3860,Title & Sub-Escrow,316665.00,2.00,81.00,1241.00,23.00,40.00,0.00,51.00
17-505159,3863,Title & Full Escrow,228500.00,0.00,52.00,598.00,1.00,6.00,1.00,45.00
17-505160,3860,Title & Sub-Escrow,168136.00,1.00,55.00,976.00,22.00,30.00,0.00,53.00
17-505161,3863,Title & Full Escrow,125000.00,0.00,57.00,302.00,1.00,6.00,1.00,45.00
17-505163,3863,Title & Sub-Escrow,474921.00,1.00,66.00,1236.00,23.00,31.00,0.00,38.00
17-505164,3863,Property Report / O&E - Title Only,255000.00,0.00,41.00,607.00,1.00,7.00,1.00,45.00
2301-202595,3860,Title and Escrow,105165.00,1.00,74.00,1150.00,21.00,34.00,0.00,78.00
17-505165,3860,Title Only & Sub Escrow,102500.00,1.00,67.00,1054.00,21.00,24.00,0.00,36.00
17-505166,3860,Property Report / O&E - Title Only,110000.00,1.00,40.00,557.00,4.00,11.00,0.00,50.00
17-505167,3860,Property Report / O&E - Title Only,175000.00,1.00,41.00,547.00,4.00,13.00,0.00,36.00
17-505168,3863,Property Report / O&E - Title Only,143000.00,1.00,21.00,344.00,10.00,6.00,0.00,123.00
2301-202596,29189,Title and Escrow,38190.00,0.00,66.00,1526.00,2.00,65.00,0.00,25.00
17-505169,3863,Property Report / O&E - Title Only,398000.00,1.00,21.00,280.00,10.00,3.00,0.00,123.00
17-505170,3863,Title Only,186400.00,1.00,37.00,698.00,20.00,14.00,0.00,38.00
17-505171,3863,Property Report / O&E - Title Only,40000.00,1.00,37.00,558.00,6.00,9.00,0.00,38.00
17-505172,3863,LCP - Title Only,66000.00,1.00,36.00,586.00,4.00,7.00,0.00,28.00
2301-202597,3860,Title and Escrow,147000.00,2.00,47.00,511.00,22.00,16.00,1.00,45.00
17-505173,3860,Property Report / O&E - Title Only,84900.00,1.00,46.00,603.00,5.00,12.00,0.00,36.00
17-505174,3863,Property Report / O&E - Title Only,60000.00,1.00,32.00,478.00,6.00,9.00,0.00,18.00
17-505175,3860,Property Report / O&E - Title Only,20000.00,2.00,39.00,545.00,5.00,11.00,0.00,36.00
17-505176,3863,Property Report / O&E - Title Only,25000.00,0.00,31.00,480.00,6.00,10.00,0.00,30.00
17-505177,3860,Property Report / O&E & Full Escrow,97400.00,2.00,67.00,765.00,4.00,19.00,0.00,24.00
17-505178,3860,Property Report / O&E - Title Only,88300.00,2.00,40.00,632.00,5.00,10.00,0.00,56.00
17-505179,3863,Title & Full Escrow,240000.00,1.00,45.00,420.00,18.00,7.00,1.00,45.00
17-505180,3863,LCP & Sub-Escrow,100000.00,0.00,39.00,641.00,4.00,18.00,1.00,45.00
17-505181,3863,Title Only,392000.00,2.00,52.00,863.00,20.00,26.00,0.00,46.00
17-505182,3863,LCP - Title Only,50000.00,1.00,34.00,598.00,4.00,9.00,0.00,16.00
17-505183,3863,Title Only,50000.00,0.00,35.00,620.00,18.00,14.00,0.00,18.00
2301-202598,3860,Title and Escrow,226180.00,2.00,83.00,1596.00,22.00,54.00,0.00,79.00
17-505184,3863,Property Report / O&E - Title Only,0.00,1.00,30.00,447.00,7.00,9.00,0.00,17.00
2301-202599,3860,Title and Escrow,34535.00,1.00,72.00,1515.00,18.00,39.00,0.00,50.00
17-505185,3860,Title Only,345000.00,1.00,44.00,771.00,22.00,22.00,0.00,57.00
17-505186,3860,Title & Full Escrow,102000.00,1.00,81.00,1396.00,23.00,32.00,0.00,37.00
17-505187,3863,LCP - Title Only,120000.00,1.00,39.00,635.00,4.00,10.00,0.00,43.00
17-505188,3863,Title Only,125000.00,0.00,41.00,886.00,18.00,26.00,0.00,32.00
17-505189,3860,Title Only & Sub Escrow,68267.00,1.00,67.00,1072.00,21.00,28.00,0.00,112.00
17-505190,3863,Title & Sub-Escrow,159750.00,1.00,69.00,1187.00,18.00,20.00,0.00,80.00
17-505191,3863,LCP - Title Only,28500.00,0.00,38.00,645.00,4.00,19.00,0.00,30.00
17-505192,3863,Title & Full Escrow,155000.00,1.00,53.00,779.00,18.00,12.00,0.00,22.00
2301-202600,3863,Title and Escrow,93000.00,2.00,53.00,593.00,7.00,6.00,1.00,45.00
17-505193,3863,LCP - Title Only,30000.00,1.00,34.00,565.00,4.00,11.00,0.00,45.00
17-505194,3863,LCP - Title Only,75000.00,1.00,26.00,352.00,4.00,6.00,1.00,45.00
2301-202601,3863,Title and Escrow,83000.00,0.00,56.00,727.00,21.00,11.00,1.00,45.00
2301-202602,3863,Title and Escrow,220000.00,2.00,98.00,1608.00,31.00,59.00,0.00,39.00
17-505196,3863,Title Only,120000.00,1.00,31.00,638.00,17.00,8.00,0.00,37.00
17-505198,3860,Title Only,73600.00,1.00,55.00,982.00,25.00,39.00,0.00,66.00
17-505199,3860,Title Only,181600.00,2.00,33.00,578.00,26.00,12.00,1.00,45.00
17-505200,3863,Title & Sub-Escrow,330839.00,1.00,44.00,1010.00,19.00,22.00,0.00,28.00
2301-202604,3860,Title and Escrow,42192.00,1.00,73.00,1310.00,21.00,39.00,0.00,35.00
17-505201,3863,LCP - Title Only,26000.00,1.00,44.00,692.00,4.00,10.00,0.00,17.00
17-505202,3863,Title Only,342956.00,2.00,23.00,415.00,20.00,4.00,1.00,45.00
17-505203,3860,Title Only,375000.00,1.00,25.00,378.00,19.00,6.00,1.00,45.00
17-505204,3863,Title & Sub-Escrow,170000.00,1.00,112.00,1425.00,18.00,36.00,0.00,80.00
17-505205,3863,LCP - Title Only,25000.00,1.00,29.00,523.00,4.00,9.00,0.00,16.00
17-505206,3863,Title Only,51000.00,0.00,49.00,694.00,0.00,9.00,1.00,45.00
2301-202606,3863,Title and Escrow,625500.00,0.00,52.00,620.00,15.00,10.00,1.00,45.00
17-505207,3863,Title Only,35000.00,0.00,33.00,442.00,0.00,8.00,1.00,45.00
17-505208,3863,Title Only,125000.00,0.00,81.00,830.00,0.00,11.00,1.00,45.00
17-505209,3863,Title Only,475180.00,2.00,32.00,479.00,23.00,6.00,1.00,45.00
17-505210,3860,Title Only,117216.00,1.00,59.00,855.00,22.00,25.00,0.00,64.00
17-505211,3863,Title Only,99280.00,1.00,53.00,842.00,31.00,29.00,0.00,51.00
2301-202608,3860,Title and Escrow,285948.00,2.00,71.00,1336.00,24.00,41.00,0.00,32.00
17-505212,3860,Title & Sub-Escrow,53707.00,1.00,62.00,933.00,22.00,26.00,0.00,80.00
17-505213,3863,LCP - Title Only,40000.00,1.00,30.00,517.00,4.00,11.00,0.00,25.00
17-505217,3863,Title Only,109406.00,3.00,59.00,895.00,37.00,23.00,0.00,67.00
2301-202609,3860,Title and Escrow,50760.27,0.00,63.00,1238.00,18.00,33.00,0.00,15.00
17-505218,3863,LCP - Title Only,80000.00,2.00,27.00,400.00,6.00,5.00,1.00,45.00
17-505219,3863,Title Only,162054.00,1.00,82.00,1154.00,32.00,31.00,0.00,77.00
2301-202610,3860,Title and Escrow,55224.00,3.00,99.00,1655.00,22.00,68.00,0.00,73.00
2301-202611,3860,Title and Escrow,136250.00,0.00,84.00,1518.00,20.00,54.00,0.00,56.00
2301-202612,3860,Title Only,22892.00,0.00,126.00,1614.00,20.00,50.00,0.00,84.00
17-505220,3863,Title Only,49400.00,0.00,25.00,265.00,0.00,7.00,1.00,45.00
2301-202615,3863,Title and Escrow,114624.00,2.00,58.00,1086.00,19.00,31.00,0.00,32.00
17-505221,3863,LCP - Title Only,35000.00,1.00,30.00,568.00,4.00,12.00,0.00,30.00
17-505223,3863,Title & Full Escrow,142000.00,2.00,62.00,961.00,22.00,20.00,0.00,56.00
17-505225,3863,Title & Full Escrow,132000.00,1.00,70.00,1040.00,22.00,25.00,0.00,57.00
17-505226,3863,Title & Full Escrow,246400.00,2.00,58.00,843.00,19.00,16.00,0.00,44.00
17-505229,3863,Title & Full Escrow,254000.00,1.00,54.00,866.00,17.00,11.00,0.00,25.00
17-505230,3863,Title & Full Escrow,173000.00,1.00,70.00,1173.00,30.00,19.00,0.00,53.00
2301-202618,3863,Title and Escrow,388435.50,0.00,78.00,1589.00,16.00,70.00,0.00,44.00
17-505231,3863,Title Only,169000.00,1.00,41.00,701.00,21.00,14.00,0.00,32.00
17-505232,3863,LCP - Title Only,100000.00,1.00,31.00,595.00,5.00,11.00,0.00,25.00
17-505233,3863,Title & Full Escrow,101250.00,1.00,79.00,1033.00,30.00,19.00,0.00,52.00
2301-202620,3863,Title and Escrow,117000.00,1.00,53.00,536.00,28.00,19.00,1.00,45.00
2301-202621,3863,Title and Escrow,51646.00,0.00,70.00,1017.00,26.00,32.00,0.00,24.00
2301-202622,3863,Title and Escrow,300000.00,1.00,45.00,453.00,17.00,10.00,1.00,45.00
17-505236,3863,LCP - Title Only,90739.00,1.00,35.00,662.00,4.00,17.00,0.00,49.00
2301-202624,3863,Title and Escrow,103525.00,0.00,91.00,1554.00,16.00,54.00,0.00,22.00
17-505238,3863,Title & Sub-Escrow,390000.00,2.00,76.00,1203.00,37.00,32.00,0.00,52.00
2301-202626,3863,Title and Escrow,72500.00,0.00,72.00,1139.00,15.00,44.00,0.00,44.00
17-505239,3863,LCP - Title Only,60000.00,1.00,36.00,583.00,4.00,10.00,0.00,15.00
17-505240,3863,LCP - Title Only,60000.00,1.00,34.00,648.00,4.00,9.00,0.00,29.00
17-505241,3863,Title Only,390000.00,1.00,45.00,791.00,18.00,26.00,0.00,29.00
17-505242,3860,Title & Sub-Escrow,247965.00,1.00,53.00,712.00,22.00,19.00,1.00,45.00
17-505243,3860,Title Only,85000.00,1.00,34.00,442.00,24.00,11.00,1.00,45.00
2301-202629,3860,Title and Escrow,42435.00,1.00,90.00,1795.00,23.00,52.00,0.00,30.00
2301-202630,3863,Title and Escrow,243257.00,0.00,74.00,1251.00,16.00,39.00,0.00,29.00
17-505246,3863,Property Report / O&E - Title Only,100000.00,1.00,20.00,311.00,11.00,4.00,0.00,122.00
17-505247,3860,Title & Sub-Escrow,417000.00,2.00,29.00,464.00,24.00,6.00,1.00,45.00
17-505248,3863,Property Report / O&E - Title Only,100000.00,1.00,20.00,286.00,6.00,3.00,0.00,122.00
17-505249,3860,Title & Sub-Escrow,46300.00,1.00,92.00,1385.00,24.00,47.00,0.00,34.00
2301-202632,3863,Title and Escrow,129948.00,1.00,76.00,1283.00,18.00,45.00,0.00,22.00
2301-202633,3863,Title and Escrow,339730.00,2.00,69.00,1468.00,19.00,64.00,0.00,34.00
17-505251,3860,Title Only,114379.00,1.00,56.00,889.00,22.00,35.00,0.00,98.00
17-505253,3863,Title Only,250000.00,1.00,37.00,668.00,18.00,17.00,0.00,17.00
17-505254,3860,Property Report / O&E - Title Only,36200.00,1.00,37.00,573.00,4.00,12.00,0.00,44.00
17-505255,3860,Property Report / O&E - Title Only,50000.00,1.00,37.00,538.00,4.00,10.00,0.00,43.00
17-505256,3863,Property Report / O&E & Full Escrow,69000.00,1.00,62.00,880.00,6.00,27.00,0.00,42.00
17-505257,3860,Property Report / O&E - Title Only,42900.00,1.00,24.00,304.00,4.00,6.00,0.00,104.00
17-505258,3863,Title & Full Escrow,146000.00,3.00,56.00,962.00,21.00,14.00,0.00,38.00
17-505259,3863,Title Only,100000.00,0.00,52.00,909.00,18.00,26.00,0.00,27.00
17-505260,3860,Property Report / O&E & Full Escrow,430000.00,1.00,71.00,883.00,3.00,23.00,0.00,45.00
2301-202635,3860,Title and Escrow,89550.00,0.00,87.00,1252.00,20.00,46.00,0.00,22.00
17-505262,3860,Property Report / O&E - Title Only,33450.00,1.00,24.00,289.00,3.00,4.00,0.00,104.00
17-505263,3863,Title Only,150000.00,0.00,23.00,361.00,18.00,4.00,1.00,45.00
17-505266,3863,Title & Full Escrow,147000.00,0.00,45.00,290.00,1.00,6.00,1.00,45.00
17-505267,3863,Property Report / O&E - Title Only,400000.00,1.00,32.00,573.00,6.00,8.00,0.00,34.00
17-505268,3863,Property Report / O&E - Title Only,250000.00,1.00,32.00,541.00,6.00,9.00,0.00,48.00
17-505269,3863,LCP - Title Only,14800.00,1.00,35.00,616.00,4.00,11.00,0.00,23.00
17-505270,3860,Property Report / O&E - Title Only,80000.00,1.00,36.00,560.00,3.00,11.00,0.00,56.00
2301-202637,3860,Title and Escrow,68875.00,1.00,80.00,1671.00,21.00,52.00,0.00,49.00
17-505271,3860,Property Report / O&E - Title Only,50000.00,1.00,24.00,291.00,4.00,4.00,0.00,104.00
2301-202638,3860,Title and Escrow,50000.00,4.00,59.00,953.00,25.00,16.00,1.00,45.00
17-505272,3863,Title Only,250000.00,1.00,44.00,812.00,19.00,20.00,0.00,70.00
17-505273,3860,Title Only,150000.00,1.00,28.00,614.00,19.00,12.00,0.00,24.00
17-505274,3860,Property Report / O&E - Title Only,20000.00,1.00,38.00,546.00,4.00,11.00,0.00,36.00
