"vCoverageType(p0)","vCoverageType(p1)","vCoverageType(p2)","vTransaction(p0)","vTransaction(p1)","vTransaction(p2)","vTransaction(p3)","vTransaction(p4)","nLoanAmount","nLiens","nActions","nAuditEntries","nTotalNotes","oCancelled","oNumDays"
0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0422062350119904,0.05,0.283464566929134,0.0548997644896318,0.0272108843537416,0,0.22707423580786
0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.00917985611510791,0.15,0.34251968503937,0.114116620713424,0.0668934240362812,0,0.148471615720524
0.5,0.5,1,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0621,0.1,0.248031496062992,0.0550281104601068,0.0331632653061225,0,0.200873362445415
0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0232956035171863,0.15,0.5,0.064862945209828,0.039205155746509,0,0.323144104803493
0.5,0.5,1,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0428634692246203,0.1,0.259842519685039,0.0384558328645887,0.0154023873700424,0,0.222707423580786
0.5,0.5,1,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0334132693844924,0.05,0.248031496062992,0.0488290631038238,0.0156317846287453,0,0.196506550218341
0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.00399680255795364,0.05,0.15748031496063,0.0572297374921018,0.0181405895691608,0,0.109170305676856
0.5,0.5,1,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0209432454036771,0.05,0.196850393700787,0.0386373427537481,0.00544217687074816,1,0.187772925764192
0.5,0.5,1,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0414807354116707,0.05,0.244094488188976,0.0381492331552645,0.0155102040816327,0,0.209606986899563
0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.00949640287769784,0.05,0.149606299212598,0.0326431765739336,0.00796416127426572,0,0.170305676855895
0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.5,0.5,0.5,1,0.0199840127897682,0.1,0.161417322834646,0.0369976736170946,0.0163265306122449,0,0.209606986899563
0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0463629096722622,0.15,0.255905511811024,0.0421441495778045,0.0272108843537416,1,0.187772925764192
0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0244604316546763,0,0.18503937007874,0.0289225400654833,0.0126984126984127,1,0.187772925764192
0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0231814548361311,0,0.220472440944882,0.0318132862312597,0.0108843537414967,1,0.187772925764192
0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.5,0.5,0.5,1,0.0180655475619504,0.1,0.153543307086614,0.0434135053297555,0.0204081632653061,0,0.11353711790393
0.908248290463863,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0133269384492406,0,0.330708661417323,0.16443388272076,0.0714285714285714,0,0.11353711790393
0.5,0.5,1,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0607,0,0.169291338582677,0.0208189729450284,0.00544217687074816,1,0.187772925764192
0.5,0.5,1,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0191846522781775,0.05,0.114173228346457,0.0203450801309667,0.00544217687074816,1,0.187772925764192
0.5,0.5,1,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0155347721822542,0.05,0.299212598425197,0.0524386247261269,0.0255102040816327,0,0.235807860262009
