sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalNotes,oCancelled,oNumDays
2301-200692,3863,Reverse Mortgage,625500.0,5.0,50.0,12.06666666666670,0.28888888888889,1.0,45.0
17-501398,3863,Refinance,36165.0,1.0,47.0,23.60000000000000,0.46666666666667,0.0,30.0
17-501399,3863,Refinance,100000.0,1.0,38.0,30.82352941176470,0.94117647058824,0.0,17.0
17-501400,3863,Uninsured (Info Products),67900.0,1.0,45.0,32.22222222222220,0.66666666666667,0.0,18.0
17-501401,3860,Uninsured (Info Products),76650.0,2.0,65.0,19.71428571428570,0.47619047619048,0.0,42.0
17-501402,3863,Refinance,126000.0,0.0,49.0,18.88888888888890,0.50000000000000,0.0,36.0
17-501403,3863,Refinance,228020.0,2.0,57.0,9.85714285714286,0.21428571428571,0.0,84.0
17-501404,3863,Refinance,20000.0,1.0,45.0,12.73913043478260,0.34782608695652,0.0,46.0
17-501405,3863,Uninsured (Info Products),50000.0,1.0,43.0,17.65625000000000,0.46875000000000,0.0,32.0
17-501406,3860,Uninsured (Info Products),149000.0,2.0,66.0,18.71739130434780,0.47826086956522,0.0,46.0
2301-200694,3863,Reverse Mortgage,297982.5,1.0,94.0,46.47619047619050,1.92857142857143,0.0,42.0
2301-200695,3860,Reverse Mortgage,332140.5,1.0,106.0,46.66666666666670,1.58974358974359,0.0,39.0
17-501407,3863,Uninsured (Info Products),250000.0,2.0,29.0,2.03910614525140,0.02793296089386,0.0,179.0
2301-200696,3860,Reverse Mortgage,143000.0,1.0,62.0,17.53333333333330,0.57777777777778,1.0,45.0
17-501408,3860,Uninsured (Info Products),175900.0,2.0,77.0,30.43750000000000,0.93750000000000,0.0,32.0
17-501409,3863,Refinance,495000.0,2.0,75.0,9.33043478260870,0.26086956521739,0.0,115.0
2301-200697,3863,Conventional - Refinance,231000.0,2.0,66.0,25.93877551020410,0.85714285714286,0.0,49.0
17-501410,3863,Uninsured (Info Products),120000.0,1.0,45.0,18.56250000000000,0.43750000000000,0.0,32.0
17-501411,3863,Uninsured (Info Products),30000.0,2.0,26.0,1.68156424581006,0.02234636871508,0.0,179.0
