sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntriesPerDay,nTotalNotesPerDay,oCancelled,oNumDays
17-501103,In-House with Abstractor,Uninsured (Info Products),102900.00,2.00,39.00,12.74418605,0.279069767,0.00,43.00
17-500224,In-House with Abstractor,Refinance,59675.00,1.00,59.00,36.57575758,0.787878788,0.00,33.00
2301-207089,In-House without XML,Reverse Mortgage,87450.00,1.00,78.00,37.825,1.075,0.00,40.00
2301-201094,In-House without XML,Reverse Mortgage,750000.00,1.00,52.00,13.71111111,0.444444444,1.00,45.00
2301-201961,In-House without XML,Reverse Mortgage,0.00,0.00,39.00,6.933333333,0.4,1.00,45.00
17-506783,In-House without XML,Refinance,408000.00,1.00,51.00,7.946236559,0.247311828,0.00,93.00
17-507923,In-House with Abstractor,TSG,177464.45,10.00,34.00,737,16,0.00,0.00
2301-208042,In-House with Abstractor,Reverse Mortgage,124000.00,0.00,46.00,5.866666667,0.111111111,1.00,45.00
17-503505,In-House without XML,Refinance,76500.00,1.00,51.00,33.36363636,0.5,0.00,22.00
17-500547,In-House with Abstractor,Refinance,50660.00,2.00,109.00,28.25396825,0.841269841,0.00,63.00
2301-201748,In-House with Abstractor,Reverse Mortgage,44475.00,0.00,75.00,25.82608696,0.804347826,0.00,46.00
17-502769,In-House without XML,Uninsured (Info Products),46050.00,1.00,34.00,2.139240506,0.018987342,0.00,158.00
17-505417,In-House without XML,Refinance,85000.00,2.00,70.00,38.76666667,0.8,0.00,30.00
17-504389,In-House without XML,Refinance,102443.00,1.00,47.00,8.174418605,0.220930233,0.00,86.00
17-502876,In-House without XML,Uninsured (Info Products),72000.00,0.00,19.00,4.311111111,0.133333333,1.00,45.00
17-508575,In-House without XML,Refinance,1.00,2.00,24.00,9.2,0.2,1.00,45.00
2301-204488,In-House without XML,Reverse Mortgage,82992.00,0.00,81.00,42.94285714,1.142857143,0.00,35.00
2301-206343,In-House with Abstractor,Reverse Mortgage,113278.00,0.00,70.00,23.15909091,0.886363636,0.00,44.00
17-513301,In-House with Abstractor,Refinance,184001.00,1.00,49.00,13.01785714,0.285714286,0.00,56.00
17-503859,In-House without XML,Refinance,307000.00,2.00,72.00,20,0.345454545,0.00,55.00
17-502472,In-House without XML,Refinance,369750.00,1.00,77.00,40.1,0.566666667,0.00,30.00
17-511718,In-House without XML,Refinance,54000.00,2.00,54.00,22.10810811,0.486486486,0.00,37.00
17-503207,In-House with Abstractor,TSG,118992.35,3.00,14.00,7.125,0.107142857,0.00,56.00
2301-204220,In-House without XML,Reverse Mortgage,426591.00,0.00,78.00,19.53030303,0.787878788,0.00,66.00
2301-202927,In-House with Abstractor,Reverse Mortgage,175000.00,0.00,62.00,12.93333333,0.4,1.00,45.00
2301-204446,In-House with Abstractor,Reverse Mortgage,34624.00,1.00,94.00,12.62280702,0.675438596,0.00,114.00
2301-203792,In-House with Abstractor,Reverse Mortgage,128000.00,1.00,72.00,16.13333333,0.644444444,1.00,45.00
2301-200388,In-House with Abstractor,Reverse Mortgage,2000000.00,1.00,51.00,10.33333333,0.111111111,1.00,45.00
17-506514,In-House without XML,Refinance,60000.00,1.00,41.00,20.46875,0.4375,0.00,32.00
17-501753,In-House without XML,Refinance,225000.00,0.00,121.00,17.31111111,0.777777778,1.00,45.00
2301-207155,In-House with Abstractor,Reverse Mortgage,168435.00,2.00,79.00,32.875,1.275,0.00,40.00
17-507460,In-House with Abstractor,Uninsured (Info Products),33250.00,1.00,73.00,18.23404255,0.404255319,0.00,47.00
2301-204128,In-House with Abstractor,Reverse Mortgage,55182.00,0.00,88.00,41.25,1.444444444,0.00,36.00
17-506551,In-House with XML,Refinance,796582.00,1.00,66.00,16.42372881,0.457627119,0.00,59.00
2301-205300,In-House with Abstractor,Reverse Mortgage,140000.00,0.00,42.00,5.244444444,0.022222222,1.00,45.00
17-512927,In-House without XML,Refinance,34490.00,1.00,51.00,15.13559322,0.237288136,0.00,59.00
2301-205261,In-House without XML,Reverse Mortgage,71155.00,1.00,73.00,23.53968254,0.682539683,0.00,63.00
2301-200497,In-House without XML,Reverse Mortgage,104076.00,1.00,81.00,26.10204082,0.755102041,0.00,49.00
2301-204719,Outsourced with In-House Recording,Reverse Mortgage,155000.00,0.00,42.00,7.266666667,0.088888889,1.00,45.00
2301-207108,In-House with Abstractor,Reverse Mortgage,250000.00,1.00,47.00,8.866666667,0.133333333,1.00,45.00
17-507910,In-House without XML,Uninsured (Info Products),132000.00,2.00,33.00,9.016949153,0.13559322,0.00,59.00
17-509482,In-House without XML,Refinance,47300.00,1.00,34.00,9.685714286,0.1,0.00,70.00
2301-209211,In-House with Abstractor,Reverse Mortgage,240000.00,0.00,46.00,6.511111111,0.222222222,1.00,45.00
17-511910,In-House with Abstractor,TSG,119518.03,4.00,13.00,376,3,0.00,0.00
17-506856,In-House with Abstractor,Uninsured (Info Products),90000.00,1.00,38.00,10.9,0.28,0.00,50.00
17-500747,In-House without XML,Refinance,529608.00,2.00,69.00,23.35,0.625,0.00,40.00
17-507284,In-House with Abstractor,Uninsured (Info Products),250000.00,2.00,41.00,13.21428571,0.30952381,0.00,42.00
2301-200492,In-House with Abstractor,Reverse Mortgage,93628.00,1.00,73.00,40.38888889,1.222222222,0.00,36.00
17-504804,In-House without XML,Refinance,75000.00,1.00,27.00,11.6,0.155555556,1.00,45.00
17-506005,In-House without XML,Refinance,20000.00,1.00,36.00,25.28,0.44,0.00,25.00
17-503506,In-House without XML,Refinance,272490.00,2.00,44.00,7.165048544,0.174757282,0.00,103.00
2301-205886,In-House without XML,Reverse Mortgage,298560.00,1.00,78.00,34.76315789,1.236842105,0.00,38.00
17-504617,In-House without XML,Refinance,75000.00,2.00,32.00,18.42424242,0.424242424,0.00,33.00
17-514301,In-House with Abstractor,Refinance,138380.00,4.00,47.00,20.18604651,0.395348837,0.00,43.00
2301-204958,In-House with Abstractor,Reverse Mortgage,800000.00,1.00,59.00,14.42222222,0.4,1.00,45.00
17-501006,In-House with Abstractor,Refinance,336000.00,1.00,58.00,11.31111111,0.333333333,0.00,90.00
17-511484,In-House with XML,Refinance,245000.00,1.00,39.00,10.12903226,0.209677419,0.00,62.00
17-514312,In-House without XML,Refinance,111500.00,0.00,43.00,22.1,0.466666667,0.00,30.00
17-504191,In-House without XML,Refinance,25000.00,1.00,36.00,24.91304348,0.782608696,0.00,23.00
17-500841,In-House without XML,Refinance,155000.00,1.00,73.00,23.6097561,0.43902439,0.00,41.00
17-513781,In-House without XML,Refinance,162006.00,1.00,67.00,22.7804878,0.414634146,0.00,41.00
17-509119,In-House without XML,Uninsured (Info Products),250000.00,1.00,15.00,2.464912281,0.026315789,0.00,114.00
17-503967,In-House without XML,Refinance,134990.00,1.00,60.00,18.86046512,0.302325581,0.00,43.00
2301-204926,In-House without XML,Reverse Mortgage,114960.00,0.00,79.00,36.85714286,0.928571429,0.00,42.00
17-509968,In-House without XML,Refinance,30000.00,1.00,40.00,11.64285714,0.214285714,0.00,56.00
17-511677,In-House without XML,Refinance,25000.00,1.00,34.00,14.91666667,0.25,0.00,36.00
2301-203361,In-House without XML,Reverse Mortgage,290640.00,0.00,47.00,6.555555556,0.155555556,1.00,45.00
17-501740,In-House without XML,Refinance,150000.00,1.00,37.00,15.09375,0.53125,0.00,32.00
17-504950,In-House without XML,Refinance,75000.00,1.00,25.00,7.422222222,0.088888889,1.00,45.00
17-515298,In-House without XML,Refinance,50000.00,1.00,36.00,28.2,0.75,0.00,20.00
17-515160,In-House with Abstractor,Refinance,58302.00,0.00,35.00,11.22222222,0.422222222,1.00,45.00
17-501213,In-House without XML,Refinance,250000.00,1.00,44.00,14.08163265,0.367346939,0.00,49.00
17-509933,In-House with XML,Refinance,331020.00,2.00,30.00,8.822222222,0.177777778,1.00,45.00
17-501557,In-House without XML,Refinance,525000.00,0.00,63.00,10.91111111,0.111111111,1.00,45.00
2301-207791,In-House with Abstractor,Reverse Mortgage,400000.00,0.00,44.00,8.6,0.066666667,1.00,45.00
2301-207666,In-House with Abstractor,Reverse Mortgage,112290.00,1.00,98.00,45.44117647,2.147058824,0.00,34.00
17-501653,In-House without XML,Refinance,327461.00,1.00,73.00,14.77419355,0.483870968,0.00,62.00
17-503807,In-House without XML,Refinance,50001.00,2.00,42.00,22.7,0.633333333,0.00,30.00
17-509192,In-House with Abstractor,Uninsured (Info Products),47800.00,1.00,38.00,11.06382979,0.191489362,0.00,47.00
2301-204624,In-House without XML,Reverse Mortgage,426390.00,3.00,92.00,39.14285714,1.404761905,0.00,42.00
2301-203076,In-House without XML,Reverse Mortgage,344650.50,1.00,81.00,41.87878788,1.454545455,0.00,33.00
17-512984,In-House without XML,Refinance,90200.00,1.00,90.00,16.15873016,0.476190476,0.00,63.00
17-502760,In-House with Abstractor,Uninsured (Info Products),125000.00,1.00,44.00,7.772151899,0.139240506,0.00,79.00
2301-200244,In-House without XML,Reverse Mortgage,169920.00,0.00,95.00,59.34615385,1.884615385,0.00,26.00
17-511734,In-House without XML,Refinance,385000.00,1.00,39.00,10.2962963,0.203703704,0.00,54.00
17-511932,In-House with Abstractor,Refinance,228759.00,1.00,72.00,13.90540541,0.418918919,0.00,74.00
17-505710,In-House with XML,Refinance,167200.00,1.00,43.00,33.04761905,0.952380952,0.00,21.00
17-508884,In-House with XML,Refinance,309000.00,1.00,79.00,21.49056604,0.660377358,0.00,53.00
17-511723,In-House without XML,Refinance,149000.00,2.00,51.00,18.29545455,0.431818182,0.00,44.00
17-501093,In-House without XML,Uninsured (Info Products),20000.00,3.00,41.00,13.64864865,0.378378378,0.00,37.00
17-503728,In-House without XML,Refinance,38000.00,0.00,53.00,26.62162162,0.540540541,0.00,37.00
17-511567,In-House with Abstractor,Refinance,70600.00,1.00,114.00,27.62790698,0.697674419,0.00,43.00
2301-202239,In-House without XML,Reverse Mortgage,204400.00,1.00,65.00,45.91666667,1.333333333,0.00,24.00
2301-204217,In-House with Abstractor,Reverse Mortgage,152000.00,0.00,55.00,12.22222222,0.222222222,1.00,45.00
2301-202269,In-House without XML,Reverse Mortgage,332140.50,2.00,84.00,28.4,1.054545455,0.00,55.00
17-508023,In-House with Abstractor,Uninsured (Info Products),45750.00,1.00,41.00,8.575342466,0.150684932,0.00,73.00
17-504638,In-House without XML,Refinance,50000.00,2.00,31.00,15.02631579,0.342105263,0.00,38.00
17-510819,In-House without XML,Refinance,198600.00,1.00,58.00,17.63265306,0.346938776,0.00,49.00
17-512017,In-House with XML,Refinance,373900.00,2.00,58.00,28.625,0.78125,0.00,32.00
17-513754,In-House without XML,Refinance,40000.00,1.00,38.00,12.59574468,0.170212766,0.00,47.00
17-502091,In-House without XML,Refinance,92800.00,2.00,68.00,28.94444444,0.666666667,0.00,36.00
17-504881,In-House with Abstractor,Refinance,103000.00,3.00,31.00,10.04444444,0.111111111,1.00,45.00
17-506901,In-House with Abstractor,Refinance,173382.00,1.00,49.00,15.26415094,0.377358491,0.00,53.00
17-500523,In-House without XML,Refinance,215640.00,1.00,70.00,23.46153846,0.41025641,0.00,39.00
2301-204941,In-House without XML,Reverse Mortgage,151580.00,1.00,75.00,29.3125,0.9375,0.00,48.00
2301-207085,In-House without XML,Reverse Mortgage,170280.00,0.00,66.00,32.71428571,0.880952381,0.00,42.00
17-505246,In-House without XML,Uninsured (Info Products),100000.00,1.00,20.00,2.549180328,0.032786885,0.00,122.00
17-512823,In-House without XML,Refinance,268502.00,1.00,50.00,19.64102564,0.461538462,0.00,39.00
17-503280,In-House without XML,Refinance,196800.00,1.00,39.00,8.533333333,0.088888889,1.00,45.00
2301-204141,In-House without XML,Reverse Mortgage,349860.00,0.00,73.00,21.16666667,0.733333333,0.00,60.00
2301-203139,In-House without XML,Reverse Mortgage,208050.00,1.00,61.00,27.6,0.828571429,0.00,35.00
17-504490,In-House without XML,Refinance,45000.00,1.00,25.00,7.444444444,0.111111111,1.00,45.00
17-503121,In-House with Abstractor,Refinance,109000.00,0.00,82.00,28.57142857,0.836734694,0.00,49.00
2301-207343,In-House without XML,Reverse Mortgage,200000.00,2.00,64.00,14.44444444,0.333333333,1.00,45.00
17-504088,In-House with Abstractor,Refinance,109060.00,1.00,59.00,11.9382716,0.469135802,0.00,81.00
17-504016,In-House with Abstractor,Refinance,93350.00,1.00,65.00,11.84269663,0.370786517,0.00,89.00
17-513243,In-House without XML,Refinance,116800.00,0.00,44.00,15.7804878,0.268292683,0.00,41.00
17-506720,In-House with Abstractor,Refinance,57601.00,1.00,85.00,11.65178571,0.383928571,0.00,112.00
17-507756,In-House with Abstractor,Uninsured (Info Products),38000.00,1.00,39.00,11.6875,0.208333333,0.00,48.00
2301-203553,In-House without XML,Reverse Mortgage,268750.00,1.00,74.00,41.32258065,1.290322581,0.00,31.00
17-507768,In-House with XML,Refinance,250000.00,1.00,35.00,15.04545455,0.272727273,0.00,44.00
17-513247,In-House with Abstractor,TSG,89859.93,3.00,19.00,450,7,0.00,0.00
17-500569,In-House with Abstractor,Refinance,138380.00,1.00,39.00,13.46666667,0.177777778,1.00,45.00
17-501357,In-House without XML,Refinance,23000.00,1.00,49.00,20.22580645,0.290322581,0.00,31.00
2301-205517,In-House without XML,Reverse Mortgage,297330.00,1.00,67.00,48.32,1.56,0.00,25.00
17-501189,In-House without XML,Refinance,200000.00,1.00,79.00,61.26315789,1.210526316,0.00,19.00
17-510556,In-House without XML,Refinance,30000.00,0.00,26.00,5.866666667,0.133333333,1.00,45.00
2301-202707,In-House with Abstractor,Reverse Mortgage,130000.00,0.00,63.00,16.53333333,0.533333333,1.00,45.00
17-514070,In-House with Abstractor,Refinance,130000.00,0.00,66.00,20.10869565,0.52173913,0.00,46.00
17-503528,In-House without XML,Refinance,100.00,0.00,42.00,3.75,0.052325581,0.00,172.00
17-510272,In-House without XML,Uninsured (Info Products),80000.00,1.00,27.00,22.76470588,0.411764706,0.00,17.00
2301-203154,In-House without XML,Reverse Mortgage,262300.00,1.00,93.00,34.575,1.075,0.00,40.00
17-503009,In-House without XML,Uninsured (Info Products),85000.00,1.00,40.00,22.44,0.36,0.00,25.00
17-507671,In-House with Abstractor,Refinance,164109.00,3.00,110.00,14.67010309,0.525773196,0.00,97.00
17-503319,In-House with Abstractor,Refinance,114875.00,1.00,65.00,12,0.236842105,0.00,76.00
17-500550,In-House with Abstractor,Uninsured (Info Products),65000.00,1.00,42.00,23.26086957,0.434782609,0.00,23.00
17-510378,In-House with Abstractor,Refinance,260000.00,2.00,62.00,13.796875,0.359375,0.00,64.00
17-509390,In-House with Abstractor,Uninsured (Info Products),80600.00,1.00,38.00,13.86486486,0.27027027,0.00,37.00
17-506173,In-House with Abstractor,Refinance,133650.00,2.00,60.00,11.06862745,0.352941176,0.00,102.00
17-513701,In-House without XML,Refinance,25000.00,1.00,39.00,13.31914894,0.255319149,0.00,47.00
17-511497,In-House with Abstractor,Refinance,216575.00,2.00,92.00,19.89552239,0.52238806,0.00,67.00
17-505169,In-House without XML,Uninsured (Info Products),398000.00,1.00,21.00,2.276422764,0.024390244,0.00,123.00
17-504834,In-House without XML,Refinance,50000.00,1.00,36.00,19.32432432,0.324324324,0.00,37.00
17-510836,In-House with Abstractor,Refinance,83763.00,1.00,87.00,16.25581395,0.279069767,0.00,86.00
17-508800,In-House without XML,Refinance,46640.00,1.00,55.00,25.28571429,0.371428571,0.00,35.00
17-503167,In-House with Abstractor,Refinance,200000.00,1.00,35.00,9.755555556,0.155555556,1.00,45.00
17-513463,In-House with Abstractor,TSG,135737.97,2.00,19.00,465,7,0.00,0.00
17-505508,In-House without XML,Refinance,70000.00,1.00,27.00,8.977777778,0.111111111,1.00,45.00
17-511230,In-House with Abstractor,Uninsured (Info Products),73550.00,1.00,37.00,13.05263158,0.210526316,0.00,38.00
17-500390,In-House without XML,Uninsured (Info Products),86700.00,2.00,28.00,1.846938776,0.020408163,0.00,196.00
17-502128,In-House without XML,Refinance,160000.00,1.00,42.00,20.14285714,0.485714286,0.00,35.00
17-515485,In-House without XML,Refinance,100000.00,2.00,34.00,18.89285714,0.5,0.00,28.00
2301-206706,In-House without XML,Reverse Mortgage,122320.00,1.00,87.00,42.55172414,1.310344828,0.00,29.00
17-507183,In-House with Abstractor,TSG,141711.14,11.00,29.00,676,14,0.00,0.00
17-506471,In-House with Abstractor,Uninsured (Info Products),100000.00,2.00,68.00,26.59375,0.71875,0.00,32.00
17-500526,In-House with Abstractor,Uninsured (Info Products),100000.00,1.00,40.00,23.33333333,0.416666667,0.00,24.00
17-502841,In-House without XML,Refinance,100000.00,2.00,35.00,9.666666667,0.111111111,1.00,45.00
17-509589,In-House with XML,Refinance,778000.00,5.00,79.00,18.26086957,0.402173913,0.00,92.00
2301-205426,In-House without XML,Reverse Mortgage,179835.00,1.00,80.00,45.93103448,1.379310345,0.00,29.00
2301-206173,In-House without XML,Reverse Mortgage,323383.50,1.00,67.00,26.7173913,0.913043478,0.00,46.00
17-512062,In-House without XML,Refinance,214750.00,1.00,49.00,38.57142857,0.714285714,0.00,21.00
17-505141,In-House without XML,Refinance,314500.00,2.00,86.00,20.58024691,0.395061728,0.00,81.00
2301-201805,In-House without XML,Reverse Mortgage,406575.00,0.00,68.00,28.37777778,1.222222222,0.00,45.00
17-505008,In-House without XML,Refinance,84600.00,1.00,49.00,10.02222222,0.2,1.00,45.00
2301-200951,In-House with Abstractor,Reverse Mortgage,79895.00,0.00,82.00,24.44897959,0.734693878,0.00,49.00
17-505360,In-House without XML,Refinance,281000.00,1.00,57.00,35.5,0.714285714,0.00,28.00
17-506111,In-House without XML,Refinance,40000.00,1.00,25.00,8.466666667,0.088888889,1.00,45.00
17-509477,In-House without XML,Refinance,36000.00,1.00,32.00,18.12903226,0.322580645,0.00,31.00
17-503066,In-House without XML,Refinance,75000.00,0.00,49.00,50.07142857,1.214285714,0.00,14.00
2301-201107,Outsourced with In-House Recording,Reverse Mortgage,200000.00,0.00,48.00,8.777777778,0.2,1.00,45.00
17-505303,In-House without XML,Refinance,133000.00,1.00,68.00,22.32758621,0.672413793,0.00,58.00
17-513668,In-House without XML,Refinance,70000.00,2.00,38.00,30.33333333,0.523809524,0.00,21.00
17-506699,In-House without XML,Uninsured (Info Products),125000.00,1.00,21.00,2.623762376,0.02970297,0.00,101.00
17-501700,In-House without XML,Refinance,330313.00,1.00,55.00,14.01851852,0.444444444,0.00,54.00
2301-206720,In-House without XML,Reverse Mortgage,128898.00,0.00,76.00,33.22222222,0.972222222,0.00,36.00
17-509936,In-House without XML,Refinance,167332.73,2.00,28.00,10.15555556,0.155555556,1.00,45.00
2301-207556,In-House with Abstractor,Reverse Mortgage,85986.00,1.00,68.00,21.86666667,1.222222222,0.00,45.00
17-514140,In-House without XML,Uninsured (Info Products),0.00,0.00,19.00,3.977777778,0.066666667,1.00,45.00
17-509734,In-House with Abstractor,Refinance,105000.00,2.00,82.00,41.21052632,0.868421053,0.00,38.00
17-500171,In-House with Abstractor,Refinance,135600.00,1.00,73.00,23.35555556,0.4,0.00,45.00
17-502780,In-House with Abstractor,Refinance,1059000.00,1.00,85.00,11.47154472,0.333333333,0.00,123.00
17-508043,In-House with Abstractor,Uninsured (Info Products),40000.00,1.00,24.00,2.613207547,0.056603774,0.00,106.00
2301-206162,In-House with Abstractor,Reverse Mortgage,73810.00,1.00,75.00,41.44444444,1.37037037,0.00,27.00
2301-205279,In-House without XML,Reverse Mortgage,419175.00,1.00,68.00,17.47619048,0.349206349,0.00,63.00
2301-206693,In-House without XML,Reverse Mortgage,625500.00,0.00,77.00,36.89473684,1.157894737,0.00,38.00
17-506448,In-House without XML,Refinance,70000.00,0.00,31.00,29.55,0.75,0.00,20.00
2301-204773,In-House with Abstractor,Reverse Mortgage,100833.00,0.00,84.00,31.53488372,1.279069767,0.00,43.00
2301-206048,In-House without XML,Reverse Mortgage,83875.00,0.00,90.00,51.45454545,1.696969697,0.00,33.00
17-507228,In-House without XML,Refinance,50000.00,0.00,61.00,48.41666667,1.083333333,0.00,24.00
2301-205322,In-House without XML,PRC Purchase,412000.00,2.00,102.00,95.48275862,3.75862069,0.00,29.00
2301-204531,In-House with Abstractor,Reverse Mortgage,38000.00,0.00,60.00,13.73333333,0.266666667,1.00,45.00
17-514767,In-House without XML,Refinance,209000.00,1.00,50.00,22.77777778,0.583333333,0.00,36.00
2301-201044,In-House without XML,Reverse Mortgage,329013.00,1.00,73.00,23.37735849,0.490566038,0.00,53.00
2301-205884,In-House without XML,Reverse Mortgage,112640.00,1.00,76.00,55.63157895,1.789473684,0.00,19.00
2301-203262,In-House without XML,Reverse Mortgage,339920.00,2.00,72.00,43.25925926,1.259259259,0.00,27.00
17-505481,In-House without XML,Refinance,50000.00,2.00,34.00,42.78571429,0.714285714,0.00,14.00
17-508896,In-House without XML,Refinance,25000.00,2.00,55.00,38.61538462,0.923076923,0.00,26.00
2301-201425,In-House with Abstractor,Reverse Mortgage,76250.00,2.00,55.00,13.82222222,0.311111111,1.00,45.00
17-502534,In-House without XML,Refinance,35000.00,1.00,39.00,14.58536585,0.43902439,0.00,41.00
17-510753,In-House without XML,Refinance,75000.00,1.00,35.00,13.04166667,0.1875,0.00,48.00
17-507614,In-House with XML,Refinance,173700.00,2.00,73.00,17.65384615,0.461538462,0.00,52.00
2301-205635,In-House with Abstractor,Reverse Mortgage,92140.00,0.00,124.00,17.75294118,1.011764706,0.00,85.00
17-515354,In-House without XML,Refinance,50000.00,1.00,52.00,40.52631579,0.684210526,0.00,19.00
17-502690,In-House without XML,Uninsured (Info Products),27451.48,0.00,27.00,1.819875776,0.01863354,0.00,161.00
17-501463,In-House with Abstractor,Refinance,124500.00,6.00,62.00,19.02222222,0.555555556,1.00,45.00
17-503587,In-House without XML,Refinance,27000.00,1.00,36.00,20.54166667,0.375,0.00,24.00
17-514183,In-House with Abstractor,Refinance,78551.00,0.00,39.00,4.844444444,0.111111111,1.00,45.00
17-512072,In-House with Abstractor,Refinance,173500.00,2.00,61.00,16.92,0.36,0.00,50.00
17-509614,In-House with Abstractor,Uninsured (Info Products),82000.00,3.00,40.00,10.20634921,0.253968254,0.00,63.00
17-501671,In-House without XML,Uninsured (Info Products),100000.00,1.00,44.00,18.21875,0.3125,0.00,32.00
17-509493,In-House with Abstractor,Refinance,259200.00,1.00,79.00,33.14814815,0.851851852,0.00,27.00
17-510770,In-House with Abstractor,Uninsured (Info Products),25000.00,1.00,43.00,19.35714286,0.5,0.00,28.00
17-510952,In-House without XML,Refinance,57819.00,1.00,35.00,10.85964912,0.122807018,0.00,57.00
2301-202522,In-House with Abstractor,Reverse Mortgage,51936.00,2.00,76.00,104.0526316,3.736842105,0.00,19.00
17-511661,In-House with XML,Refinance,100500.00,2.00,26.00,5.333333333,0.133333333,1.00,45.00
17-509962,In-House without XML,Refinance,277000.00,1.00,54.00,53.4,1.133333333,0.00,15.00
17-501970,In-House without XML,Refinance,96000.00,1.00,55.00,13.77419355,0.403225806,0.00,62.00
2301-200788,In-House without XML,Reverse Mortgage,244696.00,1.00,70.00,21.38297872,0.638297872,0.00,47.00
2301-205258,In-House without XML,Reverse Mortgage,107270.00,0.00,87.00,14.93023256,0.5,0.00,86.00
17-514964,In-House without XML,Refinance,25000.00,2.00,33.00,19.75,0.34375,0.00,32.00
17-502539,In-House without XML,Refinance,24758.00,2.00,76.00,26.20634921,0.412698413,0.00,63.00
17-507431,In-House without XML,Refinance,169500.00,1.00,38.00,8.644444444,0.088888889,1.00,45.00
17-509949,In-House with Abstractor,Uninsured (Info Products),250000.00,1.00,38.00,18.46666667,0.433333333,0.00,30.00
17-504012,In-House with Abstractor,Refinance,73200.00,2.00,27.00,11.02222222,0.2,1.00,45.00
2301-203442,In-House with Abstractor,Reverse Mortgage,122850.00,1.00,72.00,30.4047619,0.857142857,0.00,42.00
2301-200368,In-House without XML,Reverse Mortgage,220400.00,1.00,86.00,52.21212121,2.03030303,0.00,33.00
17-507208,In-House with Abstractor,Uninsured (Info Products),68500.00,1.00,38.00,14.35135135,0.297297297,0.00,37.00
17-504607,In-House without XML,Refinance,343300.00,1.00,47.00,29.22222222,0.703703704,0.00,27.00
17-503513,In-House with Abstractor,Refinance,265000.00,1.00,68.00,16.53968254,0.555555556,0.00,63.00
2301-200544,In-House with Abstractor,Reverse Mortgage,122500.00,0.00,86.00,20.31506849,0.671232877,0.00,73.00
2301-206350,In-House without XML,Reverse Mortgage,265000.00,1.00,50.00,9.422222222,0.177777778,1.00,45.00
17-503021,In-House without XML,Refinance,200000.00,0.00,35.00,8.711111111,0.088888889,1.00,45.00
17-506694,In-House with Abstractor,Refinance,93950.00,1.00,42.00,11.84444444,0.4,1.00,45.00
2301-205665,In-House without XML,Reverse Mortgage,80620.00,0.00,78.00,24.6875,0.875,0.00,48.00
17-501389,In-House without XML,Refinance,289000.00,1.00,61.00,18.13207547,0.509433962,0.00,53.00
17-510018,In-House without XML,Refinance,163000.00,1.00,40.00,14.36206897,0.24137931,0.00,58.00
17-503514,In-House without XML,Refinance,263000.00,1.00,47.00,13.96153846,0.423076923,0.00,52.00
17-507605,In-House without XML,Refinance,71225.00,2.00,45.00,15.64444444,0.266666667,1.00,45.00
17-500763,In-House without XML,Refinance,144000.00,1.00,60.00,6.707692308,0.146153846,0.00,130.00
2301-205182,In-House with Abstractor,Reverse Mortgage,165000.00,1.00,71.00,17.15555556,0.533333333,1.00,45.00
17-512096,In-House without XML,Refinance,40000.00,0.00,39.00,15.95121951,0.292682927,0.00,41.00
17-511728,In-House with Abstractor,Refinance,64350.00,2.00,49.00,17.1627907,0.418604651,0.00,43.00
17-512311,In-House with Abstractor,TSG,74587.04,2.00,14.00,388,6,0.00,0.00
17-503655,In-House without XML,Refinance,33630.00,1.00,42.00,32.27777778,0.5,0.00,18.00
17-504417,In-House without XML,Refinance,207000.00,1.00,61.00,14.62068966,0.603448276,0.00,58.00
2301-201663,In-House with Abstractor,Reverse Mortgage,229680.00,0.00,98.00,63.30434783,1.782608696,0.00,23.00
17-504940,In-House without XML,Refinance,100.00,2.00,27.00,3.196078431,0.026143791,0.00,153.00
17-505226,In-House without XML,Refinance,246400.00,2.00,58.00,19.22727273,0.363636364,0.00,44.00
17-505640,In-House without XML,Refinance,15000.00,1.00,30.00,19.71428571,0.464285714,0.00,28.00
17-509235,In-House without XML,Refinance,212850.00,1.00,78.00,15.14666667,0.293333333,0.00,75.00
2301-206176,In-House without XML,Reverse Mortgage,125114.00,0.00,74.00,26.65,0.7,0.00,40.00
17-502098,In-House without XML,Refinance,75000.00,1.00,43.00,22.32142857,0.321428571,0.00,28.00
2301-203064,In-House with Abstractor,Reverse Mortgage,98363.00,2.00,86.00,43.89655172,1.586206897,0.00,29.00
17-505855,In-House without XML,Uninsured (Info Products),1.00,1.00,21.00,2.547826087,0.034782609,0.00,115.00
2301-204069,In-House without XML,Reverse Mortgage,158400.00,1.00,69.00,22.68518519,1.018518519,0.00,54.00
17-505775,In-House with Abstractor,Refinance,101851.00,2.00,68.00,8.295454545,0.265151515,0.00,132.00
2301-206314,In-House without XML,Reverse Mortgage,400000.00,1.00,48.00,9.533333333,0.244444444,1.00,45.00
17-515174,In-House without XML,TSG,183504.94,1.00,11.00,445,4,0.00,0.00
17-508028,In-House without XML,Refinance,206500.00,1.00,88.00,20.03333333,0.833333333,0.00,60.00
17-510141,In-House without XML,Refinance,130000.00,0.00,25.00,7.666666667,0.044444444,1.00,45.00
2301-206652,In-House without XML,Reverse Mortgage,126500.00,1.00,74.00,38.73333333,1.5,0.00,30.00
17-506202,In-House without XML,Refinance,308400.00,1.00,86.00,17.29166667,0.472222222,0.00,72.00
2301-200315,In-House without XML,Reverse Mortgage,216147.00,0.00,93.00,55.70967742,1.290322581,0.00,31.00
