sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntriesPerDay,nTotalNotesPerDay,oCancelled,oNumDays
17-501468,In-House with Abstractor,TSG,247122.44,1.00,26.00,7.265060241,0.144578313,0.00,83.00
2301-206333,In-House without XML,Reverse Mortgage,191981.00,1.00,71.00,42.66666667,1.4,0.00,30.00
17-510759,In-House without XML,Refinance,25000.00,1.00,40.00,16.3902439,0.317073171,0.00,41.00
17-513439,In-House without XML,Refinance,25000.00,1.00,34.00,12,0.14893617,0.00,47.00
2301-200462,In-House with Abstractor,Reverse Mortgage,180000.00,0.00,84.00,25.11111111,0.822222222,1.00,45.00
2301-206447,In-House without XML,Reverse Mortgage,592000.00,1.00,60.00,14.04444444,0.4,1.00,45.00
17-506751,In-House with Abstractor,Uninsured (Info Products),101950.00,1.00,38.00,16.45454545,0.303030303,0.00,33.00
2301-206424,In-House without XML,Reverse Mortgage,293000.00,1.00,66.00,27.31111111,1.022222222,1.00,45.00
17-500261,In-House without XML,Uninsured (Info Products),100000.00,1.00,45.00,6.213592233,0.13592233,0.00,103.00
17-513036,In-House without XML,Refinance,20000.00,1.00,34.00,24.2962963,0.37037037,0.00,27.00
2301-206588,In-House without XML,Reverse Mortgage,178560.00,0.00,69.00,33.5483871,1.064516129,0.00,31.00
17-504005,In-House without XML,Refinance,108000.00,1.00,77.00,32.43478261,0.673913043,0.00,46.00
17-510021,In-House without XML,Refinance,10000.00,0.00,35.00,19.46428571,0.464285714,0.00,28.00
2301-204992,In-House with Abstractor,Reverse Mortgage,259435.00,1.00,90.00,45.03225806,1.612903226,0.00,31.00
17-505780,In-House with Abstractor,Refinance,399889.00,1.00,45.00,7.571428571,0.208791209,0.00,91.00
17-511074,In-House with Abstractor,Uninsured (Info Products),264500.00,2.00,41.00,11.78571429,0.303571429,0.00,56.00
2301-203712,In-House without XML,Reverse Mortgage,113000.00,0.00,56.00,13.31111111,0.311111111,1.00,45.00
2301-205149,In-House with Abstractor,Reverse Mortgage,140000.00,0.00,54.00,13.42222222,0.422222222,1.00,45.00
2301-203137,In-House with Abstractor,Reverse Mortgage,155000.00,0.00,64.00,15.57777778,0.555555556,1.00,45.00
17-501088,In-House without XML,Uninsured (Info Products),70000.00,1.00,45.00,26.14285714,0.476190476,0.00,21.00
2301-206075,In-House without XML,Reverse Mortgage,70000.00,0.00,61.00,14.82222222,0.355555556,1.00,45.00
2301-201375,In-House without XML,Reverse Mortgage,80000.00,3.00,41.00,11.57777778,0.222222222,1.00,45.00
2301-201563,In-House with Abstractor,Reverse Mortgage,179892.00,1.00,75.00,52,1.583333333,0.00,24.00
2301-206394,In-House with Abstractor,Reverse Mortgage,231300.00,1.00,61.00,18.73333333,0.6,1.00,45.00
17-506754,In-House without XML,Refinance,25000.00,1.00,29.00,25.8,0.5,0.00,20.00
17-503687,In-House without XML,Refinance,100000.00,1.00,26.00,9.155555556,0.088888889,1.00,45.00
17-503460,In-House with Abstractor,Uninsured (Info Products),30000.00,1.00,41.00,9.032786885,0.163934426,0.00,61.00
2301-206044,In-House with Abstractor,Reverse Mortgage,106000.00,1.00,60.00,15.15555556,0.711111111,1.00,45.00
17-501174,In-House without XML,TSG,531999.99,5.00,18.00,4.886363636,0.056818182,0.00,88.00
2301-203383,In-House with Abstractor,Reverse Mortgage,321000.00,0.00,98.00,38.28888889,1.511111111,0.00,45.00
17-507327,In-House without XML,Refinance,180000.00,1.00,60.00,24.48484848,0.333333333,0.00,33.00
