nLiens,nAuditEntries,nTotalNotes,oCancelled,oNumDays
3.00,1806.00,62.00,0.00,92.00
2.00,1644.00,50.00,0.00,41.00
1.00,2623.00,79.00,0.00,49.00
2.00,980.00,32.00,0.00,50.00
2.00,1035.00,29.00,0.00,50.00
1.00,1548.00,30.00,0.00,48.00
1.00,759.00,20.00,0.00,76.00
1.00,735.00,16.00,0.00,45.00
0.00,1412.00,46.00,0.00,24.00
0.00,1375.00,45.00,0.00,63.00
1.00,1224.00,39.00,0.00,31.00
0.00,232.00,2.00,1.00,45.00
1.00,607.00,12.00,0.00,52.00
1.00,656.00,9.00,0.00,55.00
1.00,1044.00,27.00,0.00,51.00
2.00,1460.00,56.00,0.00,103.00
3.00,1567.00,55.00,0.00,40.00
1.00,1479.00,49.00,0.00,91.00
1.00,1207.00,26.00,0.00,33.00
2.00,451.00,6.00,0.00,103.00
0.00,658.00,16.00,1.00,45.00
3.00,1612.00,53.00,0.00,68.00
2.00,544.00,13.00,1.00,45.00
1.00,478.00,7.00,1.00,45.00
2.00,569.00,6.00,1.00,45.00
2.00,1290.00,32.00,0.00,37.00
1.00,385.00,5.00,0.00,198.00
1.00,569.00,13.00,0.00,28.00
1.00,1009.00,29.00,0.00,51.00
0.00,592.00,13.00,0.00,50.00
1.00,568.00,12.00,0.00,40.00
1.00,1423.00,37.00,0.00,99.00
1.00,1211.00,36.00,0.00,58.00
1.00,723.00,18.00,0.00,41.00
1.00,438.00,4.00,1.00,45.00
1.00,415.00,5.00,1.00,45.00
1.00,1032.00,23.00,0.00,55.00
1.00,512.00,10.00,1.00,45.00
1.00,746.00,14.00,0.00,55.00
1.00,867.00,19.00,0.00,65.00
2.00,361.00,6.00,0.00,199.00
1.00,805.00,24.00,0.00,56.00
1.00,584.00,7.00,0.00,42.00
4.00,680.00,18.00,1.00,45.00
0.00,1018.00,21.00,0.00,103.00
2.00,1737.00,59.00,0.00,69.00
1.00,1578.00,52.00,0.00,64.00
2.00,1043.00,23.00,0.00,23.00
1.00,639.00,10.00,0.00,64.00
1.00,360.00,5.00,0.00,198.00
2.00,1220.00,20.00,0.00,48.00
1.00,905.00,24.00,0.00,48.00
3.00,1423.00,32.00,0.00,71.00
0.00,1259.00,40.00,0.00,68.00
1.00,612.00,11.00,0.00,62.00
1.00,1440.00,42.00,0.00,23.00
1.00,1048.00,20.00,0.00,70.00
1.00,1026.00,22.00,0.00,64.00
1.00,640.00,14.00,0.00,103.00
0.00,1448.00,34.00,0.00,34.00
1.00,579.00,9.00,0.00,33.00
2.00,515.00,6.00,1.00,45.00
0.00,306.00,5.00,1.00,45.00
1.00,601.00,13.00,1.00,45.00
2.00,592.00,22.00,0.00,44.00
1.00,410.00,6.00,1.00,45.00
0.00,1527.00,54.00,0.00,20.00
1.00,2019.00,66.00,0.00,28.00
1.00,1189.00,45.00,1.00,45.00
1.00,492.00,7.00,1.00,45.00
1.00,1283.00,34.00,0.00,62.00
1.00,426.00,5.00,1.00,45.00
1.00,985.00,24.00,0.00,112.00
4.00,539.00,14.00,1.00,45.00
1.00,975.00,30.00,0.00,49.00
2.00,1386.00,41.00,0.00,26.00
1.00,1455.00,39.00,0.00,78.00
0.00,379.00,11.00,1.00,45.00
2.00,585.00,9.00,1.00,45.00
0.00,486.00,5.00,1.00,45.00
1.00,926.00,31.00,1.00,45.00
2.00,1211.00,33.00,0.00,84.00
0.00,1412.00,42.00,0.00,90.00
1.00,539.00,11.00,1.00,45.00
1.00,1074.00,26.00,0.00,55.00
0.00,277.00,8.00,1.00,45.00
1.00,383.00,4.00,1.00,45.00
0.00,203.00,3.00,1.00,45.00
1.00,678.00,21.00,1.00,45.00
0.00,1263.00,44.00,0.00,62.00
5.00,539.00,8.00,0.00,223.00
1.00,659.00,8.00,0.00,57.00
2.00,726.00,17.00,0.00,62.00
2.00,398.00,6.00,0.00,223.00
1.00,550.00,13.00,0.00,48.00
1.00,995.00,32.00,0.00,40.00
1.00,890.00,29.00,0.00,37.00
2.00,574.00,13.00,0.00,42.00
1.00,858.00,19.00,1.00,45.00
1.00,577.00,12.00,0.00,40.00
1.00,536.00,10.00,0.00,18.00
1.00,560.00,11.00,1.00,45.00
0.00,425.00,8.00,1.00,45.00
2.00,380.00,5.00,0.00,223.00
1.00,1954.00,73.00,0.00,26.00
1.00,1646.00,50.00,0.00,50.00
2.00,370.00,4.00,0.00,223.00
4.00,389.00,4.00,0.00,223.00
2.00,513.00,16.00,1.00,45.00
0.00,963.00,23.00,0.00,35.00
1.00,552.00,12.00,0.00,33.00
1.00,311.00,5.00,0.00,198.00
1.00,1446.00,29.00,0.00,42.00
1.00,558.00,10.00,1.00,45.00
0.00,1331.00,32.00,0.00,54.00
1.00,1002.00,24.00,0.00,218.00
1.00,996.00,29.00,0.00,50.00
0.00,1500.00,43.00,0.00,41.00
2.00,770.00,19.00,1.00,45.00
7.00,623.00,7.00,1.00,45.00
2.00,1125.00,30.00,0.00,43.00
1.00,1925.00,62.00,0.00,41.00
2.00,950.00,36.00,0.00,50.00
1.00,941.00,21.00,0.00,34.00
2.00,391.00,5.00,0.00,197.00
1.00,832.00,19.00,0.00,54.00
3.00,720.00,16.00,1.00,45.00
2.00,431.00,5.00,1.00,45.00
1.00,1755.00,60.00,0.00,34.00
2.00,1589.00,40.00,0.00,32.00
1.00,520.00,6.00,1.00,45.00
1.00,498.00,10.00,0.00,32.00
0.00,1718.00,50.00,0.00,19.00
1.00,551.00,11.00,0.00,34.00
0.00,224.00,5.00,1.00,45.00
1.00,965.00,19.00,0.00,83.00
1.00,762.00,10.00,0.00,20.00
1.00,377.00,7.00,1.00,45.00
2.00,642.00,11.00,0.00,48.00
2.00,393.00,8.00,0.00,197.00
1.00,884.00,23.00,0.00,21.00
1.00,441.00,14.00,0.00,197.00
1.00,674.00,5.00,1.00,45.00
3.00,441.00,4.00,0.00,197.00
0.00,1957.00,48.00,0.00,43.00
1.00,1461.00,51.00,0.00,76.00
0.00,1578.00,56.00,0.00,61.00
1.00,1757.00,53.00,0.00,127.00
1.00,717.00,14.00,1.00,45.00
3.00,847.00,11.00,1.00,45.00
1.00,2152.00,81.00,0.00,68.00
1.00,403.00,5.00,1.00,45.00
2.00,636.00,7.00,1.00,45.00
1.00,1920.00,55.00,0.00,27.00
0.00,651.00,8.00,0.00,21.00
0.00,1428.00,38.00,0.00,62.00
1.00,1203.00,17.00,0.00,32.00
1.00,556.00,10.00,0.00,39.00
1.00,616.00,23.00,0.00,42.00
0.00,1283.00,21.00,0.00,26.00
1.00,496.00,7.00,1.00,45.00
