sFileNumber,vCoverageType,vProduct,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
2301-200884,3863,Title and Escrow,412830.00,0.00,412830.00,0.00,81.00,1193.00,14.00,51.00,0.00,28.00
17-501871,3860,Title & Full Escrow,239000.00,318540.00,-79540.00,2.00,68.00,967.00,25.00,26.00,0.00,38.00
17-501873,3863,Title & Sub-Escrow,448000.00,139516.46,308483.54,1.00,64.00,1057.00,20.00,25.00,0.00,58.00
17-501875,3863,Title & Full Escrow,177800.00,194500.00,-16700.00,1.00,70.00,832.00,20.00,15.00,0.00,71.00
17-501878,3860,Property Report / O&E - Title Only,20000.00,148500.00,-128500.00,1.00,28.00,318.00,4.00,7.00,0.00,172.00
17-501879,3863,Title & Full Escrow,190000.00,153000.00,37000.00,1.00,64.00,875.00,18.00,12.00,0.00,46.00
2301-200885,3863,Title and Escrow,228330.00,200000.00,28330.00,1.00,93.00,1396.00,19.00,45.00,0.00,58.00
17-501880,3863,Title Only,140000.00,0.00,140000.00,0.00,31.00,363.00,18.00,3.00,1.00,45.00
17-501881,3860,Title & Sub-Escrow,206500.00,200000.00,6500.00,1.00,51.00,546.00,22.00,13.00,1.00,45.00
17-501883,3863,Legal & Vesting - Title Only,37023.38,0.00,37023.38,0.00,39.00,596.00,5.00,6.00,0.00,28.00
17-501885,3863,Legal & Vesting - Title Only,37023.38,0.00,37023.38,0.00,16.00,202.00,0.00,4.00,1.00,45.00
2301-200886,3860,Title and Escrow,377000.00,75144.48,301855.52,1.00,50.00,525.00,20.00,6.00,1.00,45.00
17-501888,3863,Title & Full Escrow,100000.00,50000.00,50000.00,1.00,48.00,440.00,20.00,5.00,1.00,45.00
2301-200887,3863,Title and Escrow,215000.00,25000.00,190000.00,1.00,88.00,1451.00,18.00,40.00,0.00,44.00
2301-200888,3863,Title and Escrow,92394.00,90000.00,2394.00,1.00,71.00,1262.00,19.00,36.00,0.00,31.00
17-501889,3863,Title & Full Escrow,149500.00,296000.00,-146500.00,2.00,67.00,1069.00,20.00,19.00,0.00,74.00
17-501890,3863,Title Only,236255.00,240988.00,-4733.00,1.00,57.00,723.00,19.00,21.00,0.00,42.00
17-501892,3860,Title Only,75590.00,192900.00,-117310.00,1.00,55.00,928.00,28.00,29.00,0.00,99.00
17-501893,3863,Title & Full Escrow,173000.00,193000.00,-20000.00,2.00,68.00,1199.00,23.00,27.00,0.00,24.00
17-501894,3863,LCP - Title Only,18000.00,124000.00,-106000.00,1.00,32.00,292.00,4.00,4.00,1.00,45.00
17-501895,3863,Title & Sub-Escrow,20000.00,50000.00,-30000.00,1.00,72.00,1364.00,20.00,33.00,0.00,31.00
2301-200889,3863,Title and Escrow,500000.00,0.00,500000.00,0.00,35.00,228.00,2.00,0.00,1.00,45.00
2301-200890,3860,Title and Escrow,32248.00,20928.74,11319.26,1.00,90.00,1483.00,25.00,62.00,0.00,101.00
2301-200892,3860,Title and Escrow,105000.00,2499.26,102500.74,1.00,53.00,570.00,22.00,7.00,1.00,45.00
17-501896,3863,Title Only,139244.00,202400.00,-63156.00,1.00,59.00,877.00,19.00,22.00,0.00,38.00
2301-200893,3863,Title and Escrow,341523.00,546686.42,-205163.42,2.00,74.00,1574.00,21.00,53.00,0.00,29.00
17-501898,3863,Title & Sub-Escrow,996500.00,1120000.00,-123500.00,1.00,38.00,362.00,18.00,4.00,1.00,45.00
2301-200894,3863,Title and Escrow,258500.00,100000.00,158500.00,1.00,83.00,1355.00,18.00,54.00,0.00,37.00
17-501899,3863,LCP - Title Only,75000.00,453250.00,-378250.00,2.00,34.00,354.00,6.00,4.00,1.00,45.00
2301-200895,3860,Title and Escrow,96000.00,60571.00,35429.00,2.00,49.00,474.00,22.00,6.00,1.00,45.00
2301-200896,3863,Title and Escrow,371875.00,0.00,371875.00,0.00,86.00,1666.00,16.00,55.00,0.00,23.00
17-501900,3863,Title Only,260000.00,277700.00,-17700.00,1.00,48.00,625.00,17.00,13.00,0.00,50.00
2301-200898,3863,Title and Escrow,122130.00,134250.00,-12120.00,2.00,83.00,1689.00,10.00,32.00,0.00,21.00
2301-200900,3860,Title and Escrow,62215.00,0.00,62215.00,0.00,79.00,1332.00,19.00,39.00,0.00,58.00
17-501901,3863,Title Only,150000.00,75000.00,75000.00,1.00,38.00,438.00,20.00,6.00,1.00,45.00
17-501902,3863,Title Only,590000.00,601044.00,-11044.00,2.00,52.00,923.00,20.00,21.00,0.00,79.00
17-501903,3863,Title Only,475000.00,480000.00,-5000.00,1.00,41.00,540.00,18.00,10.00,1.00,45.00
2301-200906,3863,Title and Escrow,78900.00,80000.00,-1100.00,1.00,93.00,1739.00,17.00,51.00,0.00,101.00
17-501904,3863,Title Only,30000.00,0.00,30000.00,0.00,48.00,597.00,18.00,19.00,0.00,25.00
17-501905,3863,Property Report / O&E - Title Only,100000.00,625000.00,-525000.00,1.00,41.00,501.00,6.00,11.00,0.00,11.00
17-501906,3860,Title & Sub Escrow,3265000.00,3820000.00,-555000.00,2.00,89.00,1964.00,28.00,55.00,0.00,67.00
2301-200907,3863,Title and Escrow,65640.00,0.00,65640.00,0.00,80.00,1471.00,16.00,35.00,0.00,29.00
17-501908,3863,Title & Full Escrow,110000.00,0.00,110000.00,0.00,75.00,1071.00,16.00,19.00,0.00,114.00
17-501909,3863,LCP - Title Only,30000.00,178700.00,-148700.00,1.00,40.00,542.00,4.00,11.00,0.00,25.00
17-501910,3863,Title & Sub-Escrow,261000.00,333700.00,-72700.00,1.00,54.00,799.00,20.00,20.00,0.00,77.00
17-501911,3863,LCP - Title Only,18400.00,268055.00,-249655.00,1.00,35.00,371.00,5.00,6.00,1.00,45.00
17-501912,3863,LCP - Title Only,30000.07,273000.00,-242999.93,1.00,39.00,632.00,4.00,17.00,0.00,14.00
17-501913,3860,Reverse Mortgage - Title Only,400000.00,12910.83,387089.17,1.00,44.00,933.00,27.00,18.00,1.00,45.00
17-501914,3863,LCP & Sub-Escrow,40000.00,36000.00,4000.00,1.00,50.00,672.00,4.00,11.00,0.00,77.00
2301-200910,3863,Title and Escrow,53568.00,0.00,53568.00,0.00,87.00,1808.00,18.00,56.00,0.00,59.00
17-501915,3863,Title Only,200000.00,510000.00,-310000.00,1.00,45.00,627.00,18.00,15.00,0.00,24.00
17-501916,3863,LCP - Title Only,100.00,257017.46,-256917.46,7.00,33.00,397.00,18.00,4.00,0.00,197.00
17-501917,3863,LCP - Title Only,100.00,79545.89,-79445.89,4.00,33.00,362.00,10.00,4.00,0.00,197.00
17-501918,3863,LCP - Title Only,100.00,221464.77,-221364.77,6.00,33.00,369.00,12.00,4.00,0.00,197.00
2301-200911,3863,Title and Escrow,85405.00,76000.00,9405.00,1.00,66.00,1293.00,18.00,48.00,0.00,91.00
17-501919,3863,LCP - Title Only,20000.00,213000.00,-193000.00,1.00,46.00,645.00,4.00,16.00,0.00,29.00
2301-200912,3863,Title Only,225000.00,0.00,225000.00,0.00,21.00,206.00,1.00,2.00,1.00,45.00
17-501920,3863,LCP - Title Only,100000.00,164000.00,-64000.00,2.00,45.00,661.00,6.00,13.00,0.00,38.00
17-501921,3863,Property Report / O&E - Title Only,100000.00,135500.00,-35500.00,1.00,41.00,470.00,7.00,11.00,0.00,17.00
17-501922,3863,Property Report / O&E - Title Only,250000.00,382000.00,-132000.00,3.00,28.00,331.00,9.00,4.00,0.00,172.00
17-501923,3860,Property Report / O&E - Title Only,25000.00,415200.00,-390200.00,1.00,42.00,544.00,4.00,13.00,0.00,49.00
17-501924,3863,Property Report / O&E - Title Only,75000.00,324000.00,-249000.00,1.00,43.00,522.00,6.00,11.00,0.00,31.00
17-501925,3860,Property Report / O&E & Full Escrow,152750.00,454100.00,-301350.00,2.00,73.00,898.00,7.00,25.00,0.00,44.00
17-501926,3863,Property Report / O&E - Title Only,89780.00,705000.00,-615220.00,1.00,42.00,643.00,6.00,11.00,0.00,60.00
17-501927,3863,Property Report / O&E - Title Only,150000.00,527000.00,-377000.00,1.00,46.00,580.00,6.00,12.00,0.00,21.00
2301-200913,3863,Title and Escrow,205120.00,247833.56,-42713.56,3.00,87.00,1752.00,19.00,75.00,0.00,29.00
17-501928,3860,Property Report / O&E - Title Only,100000.00,568000.00,-468000.00,1.00,44.00,573.00,4.00,13.00,0.00,59.00
2301-200915,3863,Title and Escrow,245614.00,250000.00,-4386.00,1.00,84.00,1382.00,16.00,54.00,0.00,31.00
2301-200916,3860,Title and Escrow,235000.00,126027.00,108973.00,2.00,64.00,878.00,24.00,21.00,1.00,45.00
17-501930,3863,Title & Sub-Escrow,325000.00,230000.00,95000.00,1.00,37.00,368.00,18.00,5.00,1.00,45.00
17-501931,3860,Title & Sub-Escrow,71453.00,71577.00,-124.00,1.00,58.00,934.00,24.00,31.00,0.00,51.00
17-501933,3863,Title & Sub-Escrow,198000.00,236180.00,-38180.00,1.00,61.00,931.00,18.00,24.00,0.00,36.00
17-501934,3863,LCP - Title Only,10000.00,115000.00,-105000.00,1.00,52.00,746.00,4.00,20.00,0.00,22.00
17-501935,3860,Title Only,117635.00,117636.00,-1.00,1.00,64.00,934.00,24.00,42.00,0.00,70.00
17-501936,3863,LCP - Title Only,50000.00,628000.00,-578000.00,1.00,45.00,597.00,4.00,10.00,0.00,30.00
17-501937,3863,Property Report / O&E - Title Only,25000.00,180000.00,-155000.00,1.00,38.00,522.00,6.00,12.00,0.00,28.00
2301-200918,3860,Title and Escrow,149430.00,90000.00,59430.00,2.00,89.00,1478.00,28.00,47.00,0.00,34.00
17-501938,3863,Title & Full Escrow,120000.00,0.00,120000.00,0.00,69.00,1098.00,19.00,21.00,0.00,20.00
17-501939,3860,TSG - Trustee Sale Guarantee,132044.18,159000.00,-26955.82,1.00,56.00,885.00,18.00,24.00,0.00,76.00
2301-200919,3860,Title Only,33542.75,29792.00,3750.75,1.00,68.00,1111.00,22.00,31.00,0.00,55.00
2301-200920,3863,Title and Escrow,86040.00,0.00,86040.00,0.00,78.00,1352.00,18.00,33.00,0.00,36.00
17-501941,3863,Title & Full Escrow,318500.00,0.00,318500.00,0.00,75.00,1089.00,17.00,19.00,0.00,77.00
17-501942,3860,Title & Sub-Escrow,280000.00,318332.15,-38332.15,2.00,43.00,574.00,25.00,14.00,1.00,45.00
17-501943,3863,LCP - Title Only,125000.00,0.00,125000.00,0.00,22.00,249.00,0.00,6.00,1.00,45.00
17-501944,3860,Property Report / O&E - Title Only,17500.00,87000.00,-69500.00,1.00,38.00,486.00,6.00,11.00,0.00,15.00
17-501945,3863,Title Only,228900.00,161791.00,67109.00,1.00,33.00,377.00,18.00,4.00,1.00,45.00
2301-200923,3863,Title and Escrow,97350.00,0.00,97350.00,0.00,81.00,1623.00,18.00,42.00,0.00,38.00
2301-200925,3860,Title and Escrow,38220.00,0.00,38220.00,0.00,80.00,1282.00,20.00,36.00,0.00,35.00
17-501947,3863,Property Report / O&E - Title Only,40000.00,630000.00,-590000.00,1.00,27.00,300.00,6.00,4.00,0.00,171.00
17-501948,3863,LCP & Sub-Escrow,25000.00,198900.00,-173900.00,1.00,66.00,864.00,6.00,21.00,0.00,27.00
17-501949,3860,Property Report / O&E - Title Only,89000.00,398600.00,-309600.00,1.00,28.00,310.00,4.00,6.00,0.00,171.00
17-501950,3860,Property Report / O&E - Title Only,25000.00,66700.00,-41700.00,2.00,42.00,548.00,7.00,15.00,0.00,59.00
2301-200926,3860,Title and Escrow,83367.00,25000.00,58367.00,1.00,84.00,1246.00,24.00,40.00,0.00,38.00
17-501951,3863,Title & Full Escrow,326250.00,358000.00,-31750.00,2.00,65.00,973.00,19.00,23.00,0.00,24.00
17-501952,3863,Property Report / O&E - Title Only,117300.00,417000.00,-299700.00,1.00,41.00,520.00,6.00,10.00,0.00,28.00
17-501953,3860,Property Report / O&E - Title Only,100450.00,238000.00,-137550.00,1.00,48.00,573.00,5.00,12.00,0.00,30.00
2301-200927,3860,Title and Escrow,256760.00,25000.00,231760.00,1.00,79.00,1284.00,25.00,44.00,0.00,41.00
17-501955,3860,Reverse Mortgage - Title & Sub-Escrow,66000.00,50000.00,16000.00,1.00,44.00,496.00,22.00,12.00,1.00,45.00
17-501957,3860,Property Report / O&E - Title Only,15000.00,190000.00,-175000.00,1.00,37.00,466.00,6.00,13.00,0.00,10.00
17-501958,3863,Title & Full Escrow,377600.00,360460.00,17140.00,1.00,65.00,1160.00,17.00,29.00,0.00,42.00
2301-200928,3863,Title and Escrow,332690.00,0.00,332690.00,0.00,65.00,1028.00,17.00,25.00,0.00,34.00
17-501959,3860,Property Report / O&E - Title Only,39500.00,423000.00,-383500.00,1.00,43.00,535.00,4.00,15.00,0.00,44.00
17-501961,3860,Property Report / O&E - Title Only,30000.00,153350.00,-123350.00,1.00,32.00,317.00,5.00,3.00,0.00,171.00
17-501962,3863,LCP - Title Only,45000.00,313000.00,-268000.00,1.00,34.00,363.00,4.00,4.00,1.00,45.00
2301-200929,3863,Title and Escrow,251905.00,75000.00,176905.00,1.00,84.00,1452.00,18.00,54.00,0.00,51.00
2301-200933,3863,Title and Escrow,625500.00,746148.69,-120648.69,2.00,65.00,676.00,31.00,11.00,1.00,45.00
2301-200934,3863,Title and Escrow,148680.00,133575.00,15105.00,1.00,87.00,1426.00,17.00,53.00,0.00,127.00
17-501963,3860,Reverse Mortgage - Title & Sub-Escrow,427000.00,0.00,427000.00,0.00,78.00,1397.00,21.00,38.00,0.00,55.00
17-501964,3860,Title Only,74594.00,112800.00,-38206.00,1.00,76.00,897.00,13.00,30.00,0.00,77.00
17-501965,3863,Title Only,198500.00,194000.00,4500.00,1.00,50.00,712.00,19.00,21.00,0.00,77.00
2301-200938,3860,Title and Escrow,305080.00,60000.00,245080.00,1.00,73.00,1119.00,20.00,36.00,0.00,43.00
17-501966,3860,Title & Sub-Escrow,65250.00,76000.00,-10750.00,1.00,74.00,1226.00,22.00,45.00,0.00,107.00
17-501967,3863,LCP - Title Only,16348.00,255599.00,-239251.00,1.00,46.00,617.00,4.00,15.00,0.00,24.00
17-501969,3863,Title & Full Escrow,86700.00,88369.00,-1669.00,1.00,69.00,881.00,17.00,15.00,0.00,49.00
2301-200939,3860,Title and Escrow,171000.00,172566.11,-1566.11,5.00,65.00,591.00,25.00,14.00,1.00,45.00
17-501970,3863,Reverse Mortgage - Title Only,96000.00,73000.00,23000.00,1.00,55.00,854.00,18.00,25.00,0.00,62.00
2301-200940,3860,Title and Escrow,13155.50,147120.00,-133964.50,1.00,83.00,1467.00,17.00,51.00,0.00,34.00
17-501971,3863,Title Only,150000.00,0.00,150000.00,0.00,27.00,300.00,1.00,6.00,1.00,45.00
2301-200942,3860,Title and Escrow,39825.00,0.00,39825.00,0.00,81.00,1165.00,19.00,35.00,0.00,41.00
17-501972,3860,Title Only,121699.00,163838.45,-42139.45,2.00,84.00,1446.00,34.00,58.00,0.00,98.00
17-501973,3863,Title & Sub-Escrow,200000.00,258500.00,-58500.00,2.00,60.00,990.00,22.00,27.00,0.00,24.00
2301-200943,3860,Title and Escrow,103194.00,82600.00,20594.00,2.00,69.00,1140.00,25.00,38.00,0.00,76.00
2301-200944,3860,Title and Escrow,89100.00,89700.00,-600.00,2.00,98.00,1879.00,25.00,76.00,0.00,78.00
2301-200945,3863,Title and Escrow,205975.00,0.00,205975.00,0.00,72.00,1097.00,28.00,26.00,0.00,28.00
17-501974,3863,Title & Sub-Escrow,170000.00,180000.00,-10000.00,1.00,38.00,383.00,19.00,4.00,1.00,45.00
2301-200946,3863,Title and Escrow,217140.00,115000.00,102140.00,2.00,88.00,1443.00,20.00,42.00,0.00,29.00
17-501975,3863,Title & Full Escrow,156748.00,0.00,156748.00,0.00,36.00,319.00,1.00,5.00,1.00,45.00
17-501976,3863,Title & Full Escrow,248500.00,301500.00,-53000.00,2.00,74.00,966.00,20.00,18.00,0.00,41.00
17-501978,3863,Title & Full Escrow,138400.00,140000.00,-1600.00,1.00,77.00,931.00,31.00,14.00,0.00,44.00
2301-200948,3860,Title and Escrow,184100.00,100000.00,84100.00,1.00,78.00,1331.00,19.00,35.00,0.00,27.00
17-501981,3863,Title & Full Escrow,256000.00,250381.00,5619.00,1.00,69.00,811.00,21.00,14.00,0.00,29.00
17-501982,3863,LCP & Full Escrow,18100.00,160000.00,-141900.00,1.00,57.00,788.00,4.00,14.00,0.00,43.00
17-501983,3863,Title & Full Escrow,365500.00,381857.00,-16357.00,1.00,77.00,989.00,19.00,21.00,0.00,43.00
2301-200949,3863,Title and Escrow,195000.00,195534.84,-534.84,3.00,54.00,510.00,6.00,5.00,1.00,45.00
17-501984,3863,Title Only,64647.00,64648.00,-1.00,1.00,67.00,836.00,32.00,22.00,0.00,57.00
2301-200951,3860,Title and Escrow,79895.00,0.00,79895.00,0.00,82.00,1198.00,20.00,36.00,0.00,49.00
2301-200952,3860,Title and Escrow,120900.00,0.00,120900.00,0.00,98.00,1604.00,20.00,58.00,0.00,34.00
17-501985,3863,LCP - Title Only,50000.00,250000.00,-200000.00,1.00,46.00,608.00,4.00,13.00,0.00,28.00
17-501986,3863,Title Only,70650.00,125000.00,-54350.00,1.00,62.00,873.00,18.00,29.00,0.00,183.00
2301-200953,3860,Title and Escrow,90950.00,0.00,90950.00,0.00,89.00,1509.00,19.00,49.00,0.00,42.00
2301-200954,3863,Title and Escrow,32123.89,89000.00,-56876.11,2.00,68.00,1295.00,23.00,45.00,0.00,29.00
17-501987,3863,LCP - Title Only,40000.00,276264.00,-236264.00,1.00,45.00,650.00,4.00,12.00,0.00,37.00
2301-200955,3860,Title and Escrow,180000.00,100100.00,79900.00,2.00,50.00,495.00,22.00,14.00,1.00,45.00
2301-200956,3863,Title and Escrow,76995.00,95600.00,-18605.00,1.00,72.00,1359.00,27.00,31.00,0.00,31.00
2301-200957,3863,Title and Escrow,111343.11,34600.00,76743.11,1.00,84.00,1582.00,18.00,55.00,0.00,72.00
2301-200959,3863,Title and Escrow,313500.00,544185.00,-230685.00,1.00,57.00,541.00,25.00,11.00,1.00,45.00
17-501988,3863,LCP - Title Only,53000.00,50000.00,3000.00,1.00,38.00,538.00,4.00,15.00,0.00,58.00
2301-200960,3863,Title and Escrow,130000.00,63690.00,66310.00,1.00,47.00,610.00,16.00,19.00,1.00,45.00
17-501989,3863,LCP - Title Only,150000.00,298500.00,-148500.00,1.00,46.00,510.00,4.00,11.00,1.00,45.00
17-501990,3863,LCP - Title Only,75000.00,265306.00,-190306.00,1.00,46.00,590.00,4.00,12.00,0.00,31.00
17-501991,3863,LCP & Sub-Escrow,100000.00,100000.00,0.00,1.00,51.00,714.00,5.00,17.00,0.00,76.00
17-501992,3863,LCP - Title Only,85000.00,375000.00,-290000.00,1.00,56.00,899.00,4.00,17.00,0.00,36.00
2301-200961,3860,Title and Escrow,210000.00,130000.00,80000.00,1.00,49.00,461.00,11.00,7.00,1.00,45.00
17-501993,3863,LCP - Title Only,15000.00,147853.00,-132853.00,1.00,47.00,653.00,5.00,15.00,0.00,28.00
17-501994,3863,Title Only,200000.00,0.00,200000.00,0.00,31.00,368.00,18.00,3.00,1.00,45.00
17-501995,3863,LCP & Sub-Escrow,26215.00,155000.00,-128785.00,2.00,60.00,811.00,6.00,15.00,0.00,76.00
17-501996,3863,LCP - Title Only,75000.00,152192.00,-77192.00,1.00,31.00,329.00,4.00,4.00,1.00,45.00
17-501997,3863,LCP & Sub-Escrow,50000.00,45000.00,5000.00,1.00,59.00,1027.00,5.00,16.00,0.00,49.00
17-501998,3863,Title & Full Escrow,113000.00,157900.00,-44900.00,2.00,73.00,1427.00,20.00,25.00,0.00,71.00
2301-200963,3863,Title and Escrow,114000.00,0.00,114000.00,0.00,59.00,702.00,18.00,13.00,1.00,45.00
17-502000,3863,LCP & Sub-Escrow,75000.00,295000.00,-220000.00,2.00,58.00,807.00,7.00,16.00,0.00,27.00
17-502001,3863,LCP - Title Only,75000.00,0.00,75000.00,0.00,21.00,224.00,0.00,2.00,1.00,45.00
17-502002,3863,Title Only,237000.00,0.00,237000.00,0.00,69.00,878.00,18.00,26.00,0.00,70.00
17-502006,3863,Title & Sub-Escrow,285000.00,247000.00,38000.00,2.00,73.00,905.00,22.00,22.00,0.00,20.00
2301-200967,3863,Title and Escrow,206580.00,0.00,206580.00,0.00,79.00,1196.00,16.00,39.00,0.00,30.00
17-502009,3860,Title & Sub-Escrow,195563.00,333129.11,-137566.11,2.00,79.00,1437.00,24.00,49.00,0.00,75.00
2301-200970,3860,Title and Escrow,75000.00,5359.36,69640.64,2.00,75.00,1646.00,23.00,48.00,0.00,75.00
17-502010,3860,TSG - Trustee Sale Guarantee,193115.01,205891.00,-12775.99,1.00,15.00,432.00,8.00,13.00,0.00,75.00
2301-200972,3860,Title and Escrow,187575.00,155000.00,32575.00,2.00,75.00,1196.00,22.00,30.00,0.00,34.00
17-502011,3863,LCP - Title Only,35000.00,271299.00,-236299.00,1.00,52.00,705.00,4.00,19.00,0.00,23.00
17-502013,3863,Property Report / O&E - Title Only,100000.00,1000000.00,-900000.00,1.00,26.00,336.00,6.00,4.00,0.00,170.00
17-502014,3863,LCP - Title Only,50000.00,230936.00,-180936.00,1.00,43.00,566.00,4.00,18.00,0.00,15.00
17-502015,3860,Title & Sub-Escrow,126400.00,125048.92,1351.08,2.00,83.00,1301.00,21.00,38.00,0.00,40.00
17-502016,3863,Title Only,35000.00,0.00,35000.00,0.00,56.00,885.00,18.00,21.00,0.00,23.00
17-502017,3863,Title Only,49000.00,0.00,49000.00,0.00,62.00,1089.00,17.00,30.00,0.00,37.00
17-502018,3860,Property Report / O&E - Title Only,128550.00,1212500.00,-1083950.00,3.00,42.00,568.00,6.00,17.00,0.00,34.00
17-502019,3863,Title & Full Escrow,116800.00,244000.00,-127200.00,2.00,48.00,456.00,20.00,9.00,1.00,45.00
17-502020,3860,Title & Full Escrow,136000.00,208000.00,-72000.00,1.00,60.00,966.00,20.00,22.00,0.00,41.00
17-502021,3860,Title & Sub-Escrow,127967.00,138838.00,-10871.00,1.00,42.00,448.00,22.00,9.00,1.00,45.00
17-502022,3860,Title & Sub-Escrow,164000.00,170500.00,-6500.00,2.00,61.00,950.00,26.00,28.00,0.00,65.00
17-502023,3863,Title Only,479000.00,475000.00,4000.00,1.00,34.00,353.00,18.00,5.00,1.00,45.00
2301-200976,29189,Title and Escrow,395000.00,0.00,395000.00,0.00,74.00,1609.00,2.00,45.00,0.00,41.00
17-502024,3863,Legal & Vesting - Title Only,28596.00,0.00,28596.00,0.00,37.00,427.00,0.00,4.00,0.00,40.00
17-502025,3860,Property Report / O&E - Title Only,100000.00,340000.00,-240000.00,1.00,44.00,554.00,4.00,11.00,0.00,83.00
17-502026,3860,Property Report / O&E - Title Only,30000.00,196284.00,-166284.00,2.00,28.00,310.00,5.00,5.00,0.00,170.00
17-502028,3863,Property Report / O&E - Title Only,74450.00,346823.00,-272373.00,1.00,40.00,616.00,6.00,10.00,0.00,41.00
17-502029,3863,Title & Sub-Escrow,127499.50,108675.57,18823.93,2.00,51.00,493.00,21.00,8.00,1.00,45.00
17-502030,3860,Property Report / O&E - Title Only,85000.00,750000.00,-665000.00,2.00,28.00,308.00,5.00,5.00,0.00,170.00
17-502031,3863,Property Report / O&E - Title Only,100000.00,365000.00,-265000.00,1.00,39.00,548.00,6.00,12.00,0.00,34.00
17-502032,3863,LCP - Title Only,53075.00,487400.00,-434325.00,2.00,46.00,626.00,6.00,12.00,0.00,42.00
17-502033,3860,Property Report / O&E - Title Only,20000.00,203700.00,-183700.00,1.00,44.00,566.00,4.00,14.00,0.00,41.00
17-502034,3860,Property Report / O&E - Title Only,200000.00,405433.00,-205433.00,1.00,43.00,525.00,4.00,13.00,0.00,47.00
2301-200978,3860,Title and Escrow,124136.00,0.00,124136.00,0.00,84.00,1399.00,19.00,47.00,0.00,42.00
17-502036,3863,Title & Full Escrow,150000.00,40000.00,110000.00,1.00,79.00,1257.00,22.00,25.00,0.00,43.00
17-502037,3863,LCP - Title Only,100.00,0.00,100.00,0.00,40.00,396.00,5.00,5.00,0.00,195.00
17-502038,3860,Property Report / O&E - Title Only,100000.00,236000.00,-136000.00,2.00,41.00,553.00,7.00,14.00,0.00,41.00
2301-200979,3860,Title and Escrow,185000.00,1393705.92,-1208705.92,10.00,52.00,867.00,43.00,8.00,1.00,45.00
17-502039,3863,Property Report / O&E - Title Only,25000.00,135500.00,-110500.00,1.00,42.00,518.00,6.00,9.00,0.00,26.00
17-502040,3863,Title Only,1140000.00,982000.00,158000.00,1.00,52.00,710.00,19.00,24.00,0.00,43.00
17-502043,3860,Property Report / O&E - Title Only,25000.00,298151.05,-273151.05,1.00,43.00,553.00,5.00,14.00,0.00,29.00
17-502044,3863,Title Only,52000.00,97500.00,-45500.00,2.00,95.00,1585.00,18.00,46.00,0.00,33.00
17-502045,3863,Property Report / O&E - Title Only,250000.00,581000.00,-331000.00,1.00,48.00,589.00,6.00,11.00,0.00,27.00
17-502046,3860,Property Report / O&E - Title Only,43000.00,390000.00,-347000.00,2.00,28.00,315.00,7.00,5.00,0.00,170.00
17-502047,3860,Property Report / O&E - Title Only,70000.00,254762.34,-184762.34,1.00,43.00,552.00,5.00,13.00,0.00,64.00
2301-200980,3860,Title and Escrow,59750.00,0.00,59750.00,0.00,86.00,1241.00,21.00,40.00,0.00,49.00
17-502048,3860,Property Report / O&E - Title Only,50000.00,190400.00,-140400.00,1.00,55.00,705.00,5.00,23.00,0.00,42.00
2301-200981,3863,Title and Escrow,259350.00,180000.00,79350.00,1.00,67.00,1110.00,18.00,36.00,0.00,54.00
17-502049,3863,Title & Full Escrow,65600.00,0.00,65600.00,0.00,91.00,1277.00,32.00,25.00,0.00,63.00
17-502050,3860,Property Report / O&E - Title Only,45000.00,320000.00,-275000.00,1.00,28.00,317.00,5.00,5.00,0.00,170.00
17-502051,3860,Property Report / O&E - Title Only,250000.00,300000.00,-50000.00,1.00,28.00,307.00,4.00,5.00,0.00,170.00
17-502052,3863,LCP - Title Only,75000.00,196000.00,-121000.00,2.00,35.00,367.00,5.00,5.00,1.00,45.00
2301-200982,3860,Title and Escrow,82305.00,0.00,82305.00,0.00,108.00,1399.00,22.00,43.00,0.00,167.00
17-502053,3860,Title Only,136345.00,289000.00,-152655.00,1.00,85.00,1194.00,14.00,49.00,0.00,86.00
2301-200983,3860,Title and Escrow,71217.00,30000.00,41217.00,1.00,83.00,1355.00,27.00,37.00,0.00,29.00
17-502055,3863,Title & Full Escrow,180000.00,196013.00,-16013.00,1.00,84.00,1190.00,17.00,31.00,0.00,27.00
2301-200984,3860,Title and Escrow,76000.00,74000.00,2000.00,2.00,54.00,504.00,22.00,8.00,1.00,45.00
2301-200985,3863,Title and Escrow,375000.00,169684.00,205316.00,3.00,61.00,1120.00,25.00,32.00,1.00,45.00
2301-200986,3860,Title and Escrow,108300.00,0.00,108300.00,0.00,92.00,1789.00,19.00,69.00,0.00,34.00
17-502056,3863,LCP - Title Only,20000.00,310000.00,-290000.00,1.00,47.00,638.00,4.00,15.00,0.00,22.00
2301-200987,3860,Title and Escrow,26055.00,100000.00,-73945.00,1.00,75.00,1295.00,22.00,41.00,0.00,33.00
17-502058,3863,Title & Full Escrow,2000000.00,1825000.00,175000.00,1.00,82.00,1398.00,26.00,35.00,0.00,42.00
17-502059,3860,Title Only,158753.00,205950.00,-47197.00,2.00,87.00,1317.00,23.00,61.00,0.00,110.00
17-502060,3860,Title & Sub-Escrow,179469.00,195793.00,-16324.00,1.00,34.00,437.00,22.00,5.00,1.00,45.00
17-502061,3863,Title & Full Escrow,171400.00,189000.00,-17600.00,1.00,69.00,1032.00,21.00,19.00,0.00,43.00
