sFileNumber,vCoverageType,vProduct,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
2301-206026,3863,Title and Escrow,178245.00,80000.00,98245.00,1.00,74.00,1261.00,20.00,50.00,0.00,65.00
2301-206027,3860,Title and Escrow,291600.00,0.00,291600.00,0.00,95.00,1541.00,18.00,70.00,0.00,35.00
2301-206028,3863,Title and Escrow,103774.00,100001.00,3773.00,1.00,69.00,1267.00,17.00,41.00,0.00,49.00
2301-206029,29189,Title and Escrow,79670.00,0.00,79670.00,0.00,61.00,1024.00,4.00,38.00,0.00,48.00
2301-206030,3863,Title and Escrow,135036.00,0.00,135036.00,0.00,67.00,1042.00,14.00,35.00,0.00,36.00
2301-206031,3860,Title Only,33491.75,0.00,33491.75,0.00,63.00,802.00,17.00,21.00,0.00,64.00
2301-206033,3863,Title and Escrow,189120.00,337500.00,-148380.00,1.00,71.00,1191.00,19.00,39.00,0.00,29.00
17-511701,3863,Title Only,700000.00,0.00,700000.00,0.00,22.00,223.00,1.00,6.00,1.00,45.00
2301-206034,3863,Title and Escrow,625500.00,600000.00,25500.00,1.00,45.00,462.00,16.00,16.00,1.00,45.00
17-511703,3863,Title Only,96500.00,92197.24,4302.76,1.00,67.00,969.00,16.00,15.00,0.00,36.00
17-511704,3860,Title & Sub-Escrow,122000.00,112400.00,9600.00,1.00,82.00,1234.00,22.00,27.00,0.00,63.00
17-511705,3863,Title & Sub-Escrow,401250.00,443500.00,-42250.00,1.00,54.00,877.00,18.00,20.00,0.00,42.00
2301-206038,3863,Title and Escrow,343399.50,253300.00,90099.50,1.00,74.00,1191.00,16.00,41.00,0.00,44.00
17-511709,3863,Title & Sub-Escrow,96300.00,98066.00,-1766.00,2.00,65.00,863.00,21.00,20.00,0.00,51.00
17-511710,3862,Title & Full Escrow,222200.00,207997.00,14203.00,1.00,58.00,879.00,17.00,12.00,0.00,33.00
17-511711,3862,Title & Sub-Escrow,725000.00,823500.00,-98500.00,1.00,55.00,847.00,20.00,18.00,0.00,48.00
17-511712,3860,Title Only,83546.00,99094.65,-15548.65,1.00,66.00,1011.00,20.00,19.00,0.00,64.00
